"","Day","Month","Year","Sal_mean","Sal_se","Sal_min","Sal_max"
"112",11,8,2023,25.1,0.3,21.8,29.4
"113",11,9,2017,30.2,0.1,28.8,31.2
"114",11,9,2023,27.4,0.1,25.6,29.6
"115",11,10,2017,31.1,0,30.3,31.5
"116",11,10,2023,27.1,0.2,24.7,29.9
"117",11,11,2017,27.4,0.2,24.2,30.4
"118",11,11,2023,26.8,0.2,24.1,30.3
"119",12,5,2023,23.2,0.4,17.4,29
"120",12,6,2023,27.9,0.1,25.8,30
"121",12,7,2017,28.8,0.1,26.9,30.5
"122",12,7,2023,23.3,0.3,18.9,28.2
"123",12,8,2017,30.5,0,29.8,30.9
"124",12,8,2023,24.8,0.2,21.6,29.2
"125",12,9,2017,30.3,0.1,28.9,31.2
"126",12,9,2023,27.3,0.1,25.2,29.7
"127",12,10,2017,31.1,0,30.3,31.5
"128",12,10,2023,27.3,0.2,25,30
"129",12,11,2017,27.6,0.2,24.4,30.5
"130",12,11,2023,27.1,0.2,24.2,30.7
"131",13,5,2023,23.7,0.4,18.4,29.2
"132",13,6,2023,27.9,0.1,26,30
"133",13,7,2017,28.9,0.1,27.1,30.4
"134",13,7,2023,23.4,0.3,19,28.3
"135",13,8,2017,30.5,0,29.9,30.9
"136",13,8,2023,25.1,0.2,21.8,29.1
"137",13,9,2017,30.3,0.1,29,31.2
"138",13,9,2023,26.8,0.2,24.1,29.3
"139",13,10,2017,31,0,30.3,31.5
"140",13,10,2023,27.5,0.2,25.1,30.2
"141",13,11,2017,27.8,0.2,24.7,30.6
"142",13,11,2023,27.5,0.2,24.7,30.8
"143",14,5,2023,23.9,0.4,19.1,29.1
"144",14,6,2023,27.9,0.1,26,30
"145",14,7,2017,28.9,0.1,27.2,30.3
"146",14,7,2023,23.6,0.3,19.4,28.6
"147",14,8,2017,30.5,0,29.8,30.9
"148",14,8,2023,25.1,0.3,21.8,29.3
"149",14,9,2017,30.3,0.1,29.1,31.2
"150",14,9,2023,26.2,0.2,23.4,29.2
"151",14,10,2017,31,0,30.3,31.4
"152",14,10,2023,27.8,0.2,25.3,30.4
"153",14,11,2017,28,0.2,25,30.8
"154",14,11,2023,27.7,0.2,24.7,30.7
"155",15,5,2023,24,0.3,19.6,28.7
"156",15,6,2023,27.9,0.1,25.9,29.9
"157",15,7,2017,29,0.1,27.3,30.2
"158",15,7,2023,23.8,0.3,19.3,28.8
"159",15,8,2017,30.5,0,30,30.9
"160",15,8,2023,25.2,0.3,21.7,29.3
"161",15,9,2017,30.3,0.1,29.1,31.2
"162",15,9,2023,26,0.2,23.3,29.1
"163",15,10,2017,31,0,30.2,31.5
"164",15,10,2023,28.1,0.2,25.7,30.6
"165",15,11,2017,28.2,0.2,25.5,30.8
"166",15,11,2023,27.7,0.2,25,30.6
"167",16,5,2023,24.8,0.3,20.3,30
"168",16,6,2023,27.8,0.1,25.6,30
"169",16,7,2017,29,0.1,27.4,30.2
"170",16,7,2023,24.3,0.3,20.2,29.2
"171",16,8,2017,30.6,0,30,31
"172",16,8,2023,25.4,0.2,22.1,29.3
"173",16,9,2017,30.3,0.1,29,31.2
"174",16,9,2023,26.1,0.2,23.3,29
"175",16,10,2017,30.9,0.1,26.5,31.6
"176",16,10,2023,28.3,0.2,25.9,30.6
"177",16,11,2017,28.4,0.2,25.5,30.9
"178",16,11,2023,27.7,0.2,25.1,30.6
"179",17,5,2023,25.3,0.3,21.3,30
"180",17,6,2023,27.7,0.1,25.7,30.1
"181",17,7,2017,29,0.1,27.4,30.1
"182",17,7,2023,24.1,0.3,19.8,29.3
"183",17,8,2017,30.6,0,30.1,31
"184",17,8,2023,25.5,0.2,22.1,29.1
"185",17,9,2017,30.3,0.1,29.1,31.2
"186",17,9,2023,26,0.2,23.3,29.1
"187",17,10,2017,31,0,30.2,31.6
"188",17,10,2023,28.2,0.1,25.9,30.4
"189",17,11,2017,28,0.2,25.1,30.8
