"","Day","Month","Year","Sal_mean","Sal_se","Sal_min","Sal_max"
"1",1,5,2018,15.2,0.6,2.8,21.5
"2",1,5,2020,19.1,0.4,6.8,23.3
"3",1,5,2022,19.5,0.4,10.5,23
"4",1,5,2023,15.3,0.7,0.1,21.8
"5",1,6,2017,15.5,0.5,4.3,20.2
"6",1,6,2018,24.2,0.3,16.9,27.2
"7",1,6,2020,24.4,0.3,18.8,27.3
"8",1,6,2021,24,0.5,11.3,28.1
"9",1,6,2022,24.9,0.3,18.5,27.3
"10",1,6,2023,21.6,0.3,14.8,25.8
"11",1,7,2017,23.9,0.4,15.1,26.7
"12",1,7,2018,25.9,0.3,17.4,29
"13",1,7,2019,21.7,0.4,13.2,24.9
"14",1,7,2020,26.1,0.3,19.2,29.1
"15",1,7,2021,29.1,0.2,25.7,30.7
"16",1,7,2022,27,0.2,21.8,29.3
"17",1,7,2023,19.1,0.5,7.1,23.6
"18",1,8,2017,27.1,0.2,23.2,29.1
"19",1,8,2018,23.9,0.4,15.9,27
"20",1,8,2019,24.9,0.3,18.8,28.1
"21",1,8,2020,28.1,0.2,24.3,30.2
"22",1,8,2021,17.4,0.6,1.4,23.7
"23",1,8,2022,29.3,0.2,26.1,30.8
"24",1,8,2023,21.2,0.4,12.7,25
"25",1,9,2017,27.5,0.2,23.5,29.7
"26",1,9,2018,24.8,0.3,19.4,27.3
"27",1,9,2019,23.9,0.5,15.2,28.4
"28",1,9,2020,29.6,0.1,26.7,31
"29",1,9,2021,25.3,0.2,20.8,28
"30",1,9,2022,27.6,0.3,21.5,30.3
"31",1,9,2023,19.9,0.6,8.6,24.6
"32",1,10,2017,28,0.2,24.4,30.1
"33",1,10,2018,21.3,0.4,11.9,24.7
"34",1,10,2019,29.2,0.2,25.7,31
"35",1,10,2020,30.3,0.1,27.6,31.7
"36",1,10,2021,25.3,0.2,20.4,27.3
"37",1,10,2023,19.7,0.4,12.2,23.9
"38",1,11,2018,15.6,0.4,5.1,21
"39",1,11,2019,20,0.7,6,25.1
"40",1,11,2020,26.5,0.4,19.1,29.9
"41",1,11,2021,13.1,0.9,0.2,22.4
"42",1,11,2022,25.3,0.3,15.1,27.5
"43",1,11,2023,22.9,0.3,13.9,26
"44",2,5,2018,15.9,0.6,4,23.2
"45",2,5,2020,16.7,0.7,2.5,24.1
"46",2,5,2022,19.9,0.4,10.4,23.5
"47",2,5,2023,6.6,0.6,0.1,16.5
"48",2,6,2017,15.7,0.5,5.9,20.4
"49",2,6,2018,24.7,0.3,18.5,27.3
"50",2,6,2020,24.5,0.3,19.2,27.8
"51",2,6,2021,24.4,0.4,13.1,27.3
"52",2,6,2022,25.2,0.3,18.6,27.6
"53",2,6,2023,22,0.3,15,25.7
"54",2,7,2017,24,0.3,16,26.8
"55",2,7,2018,25.8,0.3,18.5,28.7
"56",2,7,2019,21.4,0.4,12.7,24.9
"57",2,7,2020,25,0.4,16.1,28.7
"58",2,7,2021,29,0.2,25.3,30.6
"59",2,7,2022,27.2,0.2,22.3,29.5
"60",2,7,2023,18.7,0.5,7,23.8
"61",2,8,2017,27.2,0.2,23.4,29.2
"62",2,8,2018,24.2,0.3,16.7,27
"63",2,8,2019,25.3,0.3,19.8,28.4
"64",2,8,2020,28.2,0.2,24.5,30.2
"65",2,8,2021,19.2,0.4,8.2,24.4
"66",2,8,2022,29.4,0.2,26.3,30.9
"67",2,8,2023,20.9,0.4,12,25.2
"68",2,9,2017,27.5,0.2,23.6,29.8
"69",2,9,2018,25,0.2,20,27.6
"70",2,9,2019,24.8,0.4,16.6,28.8
"71",2,9,2020,29.6,0.1,26.6,31.1
"72",2,9,2021,24.7,0.2,17.8,28
"73",2,9,2022,27.7,0.3,21.2,30.3
"74",2,9,2023,19.9,0.5,9.6,24.7
"75",2,10,2017,28.1,0.2,24.4,30.3
"76",2,10,2018,22,0.4,12,25.3
"77",2,10,2019,29.3,0.2,25.8,31.1
"78",2,10,2020,30.1,0.2,26.3,31.7
"79",2,10,2021,24.9,0.2,20.2,27.3
"80",2,10,2023,20.3,0.4,12.9,24.3
"81",2,11,2018,14.7,0.4,4.1,20.3
"82",2,11,2019,22.4,0.3,11.4,25.5
"83",2,11,2020,26.2,0.4,17,29.9
"84",2,11,2021,12.7,0.8,0.2,19.8
"85",2,11,2022,25.4,0.2,17.5,27.3
"86",2,11,2023,22.8,0.3,13,25.8
"87",3,5,2018,17.1,0.5,5.2,23.7
"88",3,5,2020,15.8,0.6,3.2,22.6
"89",3,5,2022,20.2,0.4,10.9,23.8
"90",3,5,2023,6.5,0.5,0.1,14.4
"91",3,6,2017,16.4,0.5,6.6,20.8
"92",3,6,2018,24.9,0.3,19.2,27.2
"93",3,6,2020,24.9,0.3,19.1,28.2
"94",3,6,2021,24.2,0.4,16,26.9
"95",3,6,2022,25.6,0.2,18.9,27.6
"96",3,6,2023,22.5,0.3,15.3,26.1
"97",3,7,2017,24.3,0.3,16.5,27
"98",3,7,2018,25.8,0.3,19.5,28.6
"99",3,7,2019,21.5,0.4,12.8,25.2
"100",3,7,2020,25.1,0.4,16.3,28.5
"101",3,7,2021,28.7,0.2,24.8,30.5
"102",3,7,2022,27.5,0.2,22.5,29.5
"103",3,7,2023,15.7,0.7,0.5,21.9
"104",3,8,2017,27.2,0.2,23.6,29.3
"105",3,8,2018,24.4,0.3,16.5,27.1
"106",3,8,2019,25.7,0.3,20.5,28.7
"107",3,8,2020,28.3,0.2,24.6,30.3
"108",3,8,2021,19.6,0.3,8.5,23.4
"109",3,8,2022,29.4,0.2,26.2,30.9
"110",3,8,2023,21.1,0.4,12.1,25.6
"111",3,9,2017,28.2,0.2,24.6,29.9
"112",3,9,2018,25.4,0.2,20,27.8
"113",3,9,2019,25.3,0.4,18,28.9
"114",3,9,2020,29.7,0.1,26.7,31.3
"115",3,9,2021,22.1,0.4,8.7,26.3
"116",3,9,2022,27.9,0.3,22.2,30.5
"117",3,9,2023,21.1,0.5,11.5,25.2
"118",3,10,2017,28.1,0.2,24.7,30.3
"119",3,10,2018,21.7,0.4,12.4,25.5
"120",3,10,2019,29.4,0.2,25.6,31.2
"121",3,10,2020,30.1,0.2,27.3,31.7
"122",3,10,2021,24.9,0.3,19.5,27.6
"123",3,10,2023,20.9,0.4,13.3,24.6
"124",3,11,2018,11.7,0.5,1.4,21.6
"125",3,11,2019,23.1,0.3,14.4,26.7
"126",3,11,2020,26.7,0.3,20.2,29.6
"127",3,11,2021,13.6,0.7,0.9,21.1
"128",3,11,2022,24.7,0.3,16.4,27.6
"129",3,11,2023,22.7,0.3,11,25.4
"130",4,5,2018,18,0.5,6.2,24.1
"131",4,5,2020,16,0.6,3.9,22.5
"132",4,5,2022,20.9,0.4,11.1,25.2
"133",4,5,2023,9.3,0.6,0.1,16
"134",4,6,2017,16.9,0.5,7,21.2
"135",4,6,2018,25.4,0.2,20,27.5
"136",4,6,2020,25,0.3,19.2,28.3
"137",4,6,2021,24.1,0.3,16.6,26.8
"138",4,6,2022,25.4,0.3,18.2,27.5
"139",4,6,2023,22.8,0.3,15.2,26.3
"140",4,7,2017,24.3,0.3,17,26.9
"141",4,7,2018,26,0.3,19.9,28.4
"142",4,7,2019,21.5,0.4,13.6,25.6
"143",4,7,2020,24.7,0.4,16.9,28.5
"144",4,7,2021,28.1,0.2,22.9,30.1
"145",4,7,2022,27.6,0.2,22.7,29.6
"146",4,7,2023,12.5,0.8,0.2,19.5
"147",4,8,2017,27.2,0.2,23.1,29.3
"148",4,8,2018,23.8,0.4,14.3,27.2
"149",4,8,2019,26.2,0.3,21,28.9
"150",4,8,2020,28.4,0.2,24.5,30.3
"151",4,8,2021,19.9,0.3,11.2,24.1
"152",4,8,2022,29.6,0.1,26.5,31
"153",4,8,2023,21.9,0.4,12.8,26
"154",4,9,2017,27.3,0.2,23.2,29.9
"155",4,9,2018,25.4,0.3,20,27.9
"156",4,9,2019,25.9,0.3,18.9,29.1
"157",4,9,2020,29.9,0.1,27.1,31.4
"158",4,9,2021,20.9,0.4,7.6,25.4
"159",4,9,2022,28.2,0.3,21.6,30.6
"160",4,9,2023,22.1,0.4,14.3,25.6
"161",4,10,2017,28,0.2,24,30.3
"162",4,10,2018,20.2,0.6,8.6,24.9
"163",4,10,2019,29.4,0.2,25.7,31.2
"164",4,10,2020,30.2,0.1,27,31.8
"165",4,10,2021,24.7,0.3,19,27.7
"166",4,10,2023,22,0.3,15.2,24.8
"167",4,11,2018,6.6,0.4,0.2,15.6
"168",4,11,2019,23.4,0.3,13.8,26.2
"169",4,11,2020,26.6,0.3,19.2,29.7
"170",4,11,2021,14.1,0.6,2.2,20.3
"171",4,11,2022,24.1,0.4,16.4,27.6
"172",4,11,2023,23.1,0.2,14.4,25.6
"173",5,5,2018,18.5,0.5,6.4,23.8
"174",5,5,2020,15.9,0.5,5.6,21.6
"175",5,5,2022,21.3,0.4,11.4,25.7
"176",5,5,2023,9.3,0.6,0.1,15.9
"177",5,6,2017,17.4,0.5,7.4,21.4
"178",5,6,2018,25.7,0.2,20.8,27.5
"179",5,6,2020,25,0.3,19,28.5
"180",5,6,2021,24.5,0.3,17.4,27
"181",5,6,2022,25.6,0.2,17.4,27.5
"182",5,6,2023,22.9,0.4,14.8,26.4
"183",5,7,2017,24,0.3,16.9,26.5
"184",5,7,2018,26.1,0.3,20.5,28.4
"185",5,7,2019,21.2,0.4,13.4,25.8
"186",5,7,2020,25,0.4,17,28.6
"187",5,7,2021,27.2,0.3,20.3,29.8
"188",5,7,2022,27.8,0.2,23.3,29.7
"189",5,7,2023,11.9,0.7,0.2,19.7
"190",5,8,2017,27.3,0.2,23.4,29.4
"191",5,8,2018,23.1,0.4,12.3,26.9
"192",5,8,2019,26.4,0.3,21.2,29
"193",5,8,2020,28.4,0.2,24.7,30.4
"194",5,8,2021,20.4,0.3,11.5,25
"195",5,8,2022,29.6,0.1,26.6,31
"196",5,8,2023,22.3,0.4,13.3,26.2
"197",5,9,2017,27.5,0.2,23.4,29.8
"198",5,9,2018,25.5,0.3,20.1,28.4
"199",5,9,2019,26.2,0.3,20,29.1
"200",5,9,2020,29.8,0.1,27.1,31.3
"201",5,9,2021,20,0.4,9.7,24.7
"202",5,9,2022,28,0.3,22.6,30.3
"203",5,9,2023,23.5,0.3,17.2,26
"204",5,10,2017,28.3,0.2,24.4,30.4
"205",5,10,2018,19.6,0.6,6.7,24.8
"206",5,10,2019,29.3,0.2,25.5,31.1
"207",5,10,2020,30.4,0.1,27.7,31.9
"208",5,10,2021,24.3,0.3,18.1,27.7
"209",5,10,2023,22.6,0.3,15.8,24.9
"210",5,11,2018,8,0.6,0.1,18.6
"211",5,11,2019,23.8,0.2,16.4,26.8
"212",5,11,2020,26.3,0.3,19.3,29.5
"213",5,11,2021,15.4,0.6,3.6,21.5
"214",5,11,2022,23.7,0.4,15.6,27.9
"215",5,11,2023,23.7,0.2,17,26.6
"216",6,5,2018,19.9,0.3,9.9,24.3
"217",6,5,2020,15.8,0.5,5.5,20.7
"218",6,5,2021,21.3,0.7,8.9,26.6
"219",6,5,2022,21.8,0.3,12.2,25.5
"220",6,5,2023,10.1,0.6,0.2,19.2
"221",6,6,2017,18.2,0.4,8.3,21.8
"222",6,6,2018,25.4,0.2,19.5,27.5
