"","DateTimeStamp","StationCode","Temp","Sal","DO_mgl","Turb","ChlFluor","Year","Month","Day"
"1",2015-05-01 00:00:00,"CML",8.371503,26.685322,336.32584,2.986298,0.384602,2015,5,1
"2",2015-05-01 01:01:00,"CML",7.562433,28.542316,345.88916,2.738382,0.302718,2015,5,1
"3",2015-05-01 01:58:00,"CML",7.454899,28.692347,345.5719,2.525883,0.297357,2015,5,1
"4",2015-05-01 03:00:00,"CML",7.626938,28.404343,342.95917,2.509089,0.340936,2015,5,1
"5",2015-05-01 04:01:00,"CML",7.434619,28.748802,345.59082,1.923561,0.278248,2015,5,1
"6",2015-05-01 04:58:00,"CML",7.618693,28.438644,344.62054,1.705913,0.367568,2015,5,1
"7",2015-05-01 06:00:00,"CML",7.998786,27.585482,340.56158,3.775374,0.372064,2015,5,1
"8",2015-05-01 07:01:00,"CML",8.431702,26.408585,334.85452,3.261113,0.515684,2015,5,1
"9",2015-05-01 07:58:00,"CML",8.654677,25.365957,329.699,2.550617,0.493981,2015,5,1
"10",2015-05-01 09:00:00,"CML",8.922391,24.37221,325.7154,3.132968,0.545342,2015,5,1
"11",2015-05-01 10:01:00,"CML",8.989813,24.106642,324.5698,2.792662,0.536609,2015,5,1
"12",2015-05-01 10:58:00,"CML",9.072144,23.642014,322.29068,4.152012,0.556064,2015,5,1
"13",2015-05-01 12:00:00,"CML",8.755356,25.087961,322.07846,3.254135,0.524763,2015,5,1
"14",2015-05-01 13:01:00,"CML",7.621616,28.057732,337.2587,4.099513,0.347248,2015,5,1
"15",2015-05-01 13:58:00,"CML",7.384952,28.59062,342.28207,3.7184,0.273752,2015,5,1
"16",2015-05-01 15:00:00,"CML",7.303609,28.798168,343.52213,1.999302,0.199996,2015,5,1
"17",2015-05-01 16:01:00,"CML",7.322547,28.8469,345.4177,2.396006,0.214609,2015,5,1
"18",2015-05-01 16:58:00,"CML",7.876517,28.127604,345.8141,2.109498,0.245132,2015,5,1
"19",2015-05-01 18:00:00,"CML",7.880704,28.079178,343.00992,2.302268,0.225504,2015,5,1
"20",2015-05-01 19:01:00,"CML",8.286799,27.260336,338.6162,3.753191,0.305398,2015,5,1
"21",2015-05-01 19:58:00,"CML",8.707545,26.109455,334.29712,3.674995,0.347767,2015,5,1
"22",2015-05-01 21:00:00,"CML",8.984163,25.22743,332.08743,5.317486,0.339639,2015,5,1
"23",2015-05-01 22:01:00,"CML",9.127569,24.76897,330.43668,4.949875,0.414858,2015,5,1
"24",2015-05-01 22:58:00,"CML",9.286387,24.159742,328.85196,6.790737,0.457838,2015,5,1
"25",2015-05-02 00:00:00,"CML",9.162077,24.674217,330.11847,5.326436,0.420917,2015,5,2
"26",2015-05-02 01:01:00,"CML",8.238936,27.931026,344.76883,6.014941,0.333846,2015,5,2
"27",2015-05-02 01:58:00,"CML",7.846571,28.604088,350.1808,9.285726,0.300124,2015,5,2
"28",2015-05-02 03:00:00,"CML",7.611159,28.896177,351.21716,2.110941,0.282053,2015,5,2
"29",2015-05-02 04:01:00,"CML",7.64242,28.796967,351.5761,5.255747,0.280929,2015,5,2
"30",2015-05-02 04:58:00,"CML",7.863927,28.34171,349.1392,3.956355,0.352436,2015,5,2
"31",2015-05-02 06:00:00,"CML",7.818029,28.501911,347.96255,3.014737,0.308598,2015,5,2
"32",2015-05-02 07:01:00,"CML",8.16215,27.659184,342.52066,6.688577,0.322605,2015,5,2
"33",2015-05-02 07:58:00,"CML",8.541288,26.409334,335.06085,5.966532,0.403538,2015,5,2
"34",2015-05-02 09:00:00,"CML",8.852039,25.171585,329.539,4.163946,0.449365,2015,5,2
"35",2015-05-02 10:01:00,"CML",9.18949,23.98657,324.73483,6.112241,0.544305,2015,5,2
"36",2015-05-02 10:58:00,"CML",9.17113,24.02144,324.84552,6.833756,0.531075,2015,5,2
"37",2015-05-02 12:00:00,"CML",9.148527,23.9798,324.56042,5.287603,0.491387,2015,5,2
"38",2015-05-02 13:01:00,"CML",8.217177,26.796328,329.72812,7.428523,0.379327,2015,5,2
"39",2015-05-02 13:58:00,"CML",7.29679,28.801678,343.9106,3.854244,0.273838,2015,5,2
"40",2015-05-02 15:00:00,"CML",7.063861,29.156176,349.08948,5.551062,0.29338,2015,5,2
"41",2015-05-02 16:01:00,"CML",7.104338,29.290829,349.71017,8.26317,0.231297,2015,5,2
"42",2015-05-02 16:58:00,"CML",7.739867,28.750486,351.08514,6.086737,0.223947,2015,5,2
"43",2015-05-02 18:00:00,"CML",7.349177,29.136503,350.8925,6.415158,0.273579,2015,5,2
"44",2015-05-02 19:01:00,"CML",7.948102,28.410913,348.2102,4.135603,0.2645,2015,5,2
"45",2015-05-02 19:58:00,"CML",8.446607,27.424162,341.42886,2.920517,0.267613,2015,5,2
"46",2015-05-02 21:00:00,"CML",8.81849,26.42438,337.99878,2.970562,0.346643,2015,5,2
"47",2015-05-02 22:01:00,"CML",9.219347,25.313581,335.53745,4.83455,0.3335,2015,5,2
