"","Day","Month","Year","Sal_mean","Sal_se","Sal_min","Sal_max"
"112",4,6,2016,30,0.1,29.3,30.5
"113",4,6,2017,27.8,0.3,25.2,29.8
"114",4,6,2019,29.5,0.4,28.5,30.4
"115",4,6,2020,29.1,0.1,28.3,29.7
"116",4,6,2021,31.1,0.1,30,31.9
"117",4,7,2015,28.8,0.2,27,29.9
"118",4,7,2017,29.5,0.2,28.3,30.5
"119",4,7,2019,29.3,0.2,27.5,30.4
"120",4,7,2020,30.6,0.1,29.9,31.1
"121",4,7,2021,31.9,0,31.5,32.2
"122",4,8,2015,30.8,0,30.4,31.1
"123",4,8,2016,30.3,0,30.1,30.5
"124",4,8,2017,22.8,0.3,18,24.1
"125",4,8,2019,30.9,0.1,30.2,31.4
"126",4,8,2020,31.6,0,31.4,31.9
"127",4,8,2021,29.7,0.4,26.2,31.8
"128",4,9,2015,30.4,0,30.2,30.7
"129",4,9,2016,31.5,0,31.5,31.7
"130",4,9,2017,30.5,0,30.2,30.9
"131",4,9,2019,31.2,0.1,31,31.4
"132",4,9,2020,31.7,0,31.6,31.8
"133",4,10,2015,30.1,0.1,29.3,30.7
"134",4,10,2016,31.6,0,31.5,31.7
"135",4,10,2017,30,0,29.6,30.2
"136",4,10,2020,32.1,0,32,32.2
"137",4,11,2015,30.9,0.1,29.5,31.7
"138",4,11,2016,30.7,0.1,29.5,31.5
"139",4,11,2017,29.2,0.4,25.7,31.4
"140",5,5,2015,28,0.4,24.8,30.2
"141",5,5,2016,27.4,0.1,25.8,28.5
"142",5,5,2017,26.8,0.4,23.8,29.6
"143",5,5,2019,26.6,0.5,22,29.8
"144",5,5,2020,27.8,0.5,24.1,30.4
"145",5,5,2021,30.8,0.3,28.5,32.4
"146",5,6,2015,29.5,0.2,27.6,30.6
"147",5,6,2016,30,0.1,29.4,30.4
"148",5,6,2017,27.9,0.3,25.4,29.7
"149",5,6,2019,29.2,0.3,27.1,30.7
"150",5,6,2020,29,0.1,28.1,29.6
"151",5,6,2021,31.2,0.1,29.9,32
"152",5,7,2015,28.8,0.2,27.1,30
"153",5,7,2017,29.6,0.1,28.4,30.7
"154",5,7,2019,29.4,0.2,27.8,30.5
"155",5,7,2020,30.6,0.1,29.9,31.1
"156",5,7,2021,31.8,0.1,31.4,32.1
"157",5,8,2015,30.8,0,30.4,31.1
"158",5,8,2016,30.4,0,30.2,30.6
"159",5,8,2017,22.8,0.1,21.6,23.4
"160",5,8,2019,30.6,0.3,25.8,31.5
"161",5,8,2020,31.6,0,31.3,31.8
"162",5,8,2021,29.8,0.4,26.5,32
"163",5,9,2016,31.5,0,31.4,31.5
"164",5,9,2017,30.7,0,30.3,31
"165",5,9,2019,30.9,0.1,30.2,31.5
"166",5,10,2015,30.1,0.1,29.4,30.7
"167",5,10,2016,31.8,0,31.7,31.9
"168",5,10,2017,30,0.1,29,30.3
"169",5,10,2020,32.1,0,32,32.2
"170",5,11,2015,30.8,0.1,29.4,31.7
"171",5,11,2016,30.6,0.2,29.2,31.6
"172",5,11,2017,29.4,0.3,25.9,31.3
"173",5,11,2020,32,0.1,31.6,32.2
"174",6,5,2015,28.3,0.4,25.2,30.2
"175",6,5,2016,28.1,0.1,26.7,28.9
"176",6,5,2017,26.5,0.4,23.6,28.9
"177",6,5,2019,26.1,0.5,22.3,29.2
"178",6,5,2020,28,0.4,24.4,30.1
"179",6,5,2021,29.9,0.5,21,32.1
"180",6,6,2015,29.4,0.2,27.4,30.4
"181",6,6,2016,29.7,0.1,29.2,30.1
"182",6,6,2017,27.9,0.3,25.5,29.4
"183",6,6,2019,29.1,0.2,27,30.4
"184",6,6,2020,29.1,0.1,28.2,29.6
"185",6,6,2021,31.2,0.2,30,32
"186",6,7,2015,28.9,0.2,27.3,30.1
"187",6,7,2017,29.7,0.2,27.5,30.6
"188",6,7,2019,29.6,0.2,28.2,30.7
"189",6,7,2020,30.6,0.1,29.9,31.2
"190",6,7,2021,31.7,0.1,31.2,32.1
"191",6,8,2015,30.8,0,30.5,31.1
"192",6,8,2016,30.6,0,30.3,30.9
"193",6,8,2017,13.9,1.6,1.4,22.2
"194",6,8,2019,31,0.1,30.4,31.4
"195",6,8,2020,31.6,0,31.3,32
"196",6,8,2021,29.5,0.4,26.1,31.6
"197",6,9,2016,31.4,0,31.4,31.5
"198",6,9,2017,30.6,0.1,30.1,31
"199",6,9,2019,31,0.1,30.4,31.4
"200",6,9,2020,31.7,0,31.6,31.9
"201",6,10,2015,30.1,0.1,29.4,30.6
"202",6,10,2016,31.8,0,31.7,31.9
"203",6,10,2017,30.2,0,29.8,30.4
"204",6,11,2015,31,0.1,29.6,31.8
"205",6,11,2016,30.6,0.2,29.3,31.6
"206",6,11,2017,29.5,0.3,26.7,31.2
"207",6,11,2020,31.4,0.4,23.3,32.2
"208",7,5,2015,28.6,0.3,25.7,30.6
"209",7,5,2016,28.2,0.2,26.6,29
"210",7,5,2017,25.9,0.5,22.5,28.3
"211",7,5,2019,25.9,0.4,21.9,28.4
"212",7,5,2020,28.2,0.4,24.8,30.2
"213",7,5,2021,30.3,0.3,27.8,32.1
"214",7,6,2015,29.3,0.2,27.5,30.5
"215",7,6,2016,30,0.1,29.4,30.4
