"","StationCode","DateTimeStamp","Sal","RESULTS.VALID","RESULT.COMMENT","Year","Month","Day"
"75","GRBBR",2017-05-01 18:30:00,16.6,""," ",2017,5,1
"76","GRBBR",2017-05-01 18:45:00,16.6,""," ",2017,5,1
"77","GRBBR",2017-05-01 19:00:00,16.6,""," ",2017,5,1
"78","GRBBR",2017-05-01 19:15:00,16.5,""," ",2017,5,1
"79","GRBBR",2017-05-01 19:30:00,16.3,""," ",2017,5,1
"80","GRBBR",2017-05-01 19:45:00,16.3,""," ",2017,5,1
"81","GRBBR",2017-05-01 20:00:00,16.3,""," ",2017,5,1
"82","GRBBR",2017-05-01 20:15:00,16.2,""," ",2017,5,1
"83","GRBBR",2017-05-01 20:30:00,16.1,""," ",2017,5,1
"84","GRBBR",2017-05-01 20:45:00,16,""," ",2017,5,1
"85","GRBBR",2017-05-01 21:00:00,15.7,""," ",2017,5,1
"86","GRBBR",2017-05-01 21:15:00,15.6,""," ",2017,5,1
"87","GRBBR",2017-05-01 21:30:00,15.1,""," ",2017,5,1
"88","GRBBR",2017-05-01 21:45:00,13.9,""," ",2017,5,1
"89","GRBBR",2017-05-01 22:00:00,12.4,""," ",2017,5,1
"90","GRBBR",2017-05-01 22:15:00,11.9,""," ",2017,5,1
"91","GRBBR",2017-05-01 22:30:00,10.8,""," ",2017,5,1
"92","GRBBR",2017-05-01 22:45:00,9.9,""," ",2017,5,1
"93","GRBBR",2017-05-01 23:00:00,9.1,""," ",2017,5,1
"94","GRBBR",2017-05-01 23:15:00,8.4,""," ",2017,5,1
"95","GRBBR",2017-05-01 23:30:00,7.8,""," ",2017,5,1
"96","GRBBR",2017-05-01 23:45:00,7.5,""," ",2017,5,1
"97","GRBBR",2017-05-02 00:00:00,7.1,""," ",2017,5,2
"98","GRBBR",2017-05-02 00:15:00,7,""," ",2017,5,2
"99","GRBBR",2017-05-02 00:30:00,6.4,""," ",2017,5,2
"100","GRBBR",2017-05-02 00:45:00,7.1,""," ",2017,5,2
"101","GRBBR",2017-05-02 01:00:00,7.4,""," ",2017,5,2
"102","GRBBR",2017-05-02 01:15:00,7.2,""," ",2017,5,2
"103","GRBBR",2017-05-02 01:30:00,7.1,""," ",2017,5,2
