"","StationCode","DateTimeStamp","Sal","RESULTS.VALID","RESULT.COMMENT","Year","Month","Day"
"73","GRBLPR",2017-07-12 04:00:00,30.5,""," ",2017,7,12
"74","GRBLPR",2017-07-12 04:15:00,30.5,""," ",2017,7,12
"75","GRBLPR",2017-07-12 04:30:00,30.4,""," ",2017,7,12
"76","GRBLPR",2017-07-12 04:45:00,30.1,""," ",2017,7,12
"77","GRBLPR",2017-07-12 05:00:00,30,""," ",2017,7,12
"78","GRBLPR",2017-07-12 05:15:00,29.9,""," ",2017,7,12
"79","GRBLPR",2017-07-12 05:30:00,29.6,""," ",2017,7,12
"80","GRBLPR",2017-07-12 05:45:00,29.6,""," ",2017,7,12
"81","GRBLPR",2017-07-12 06:00:00,29.5,""," ",2017,7,12
"82","GRBLPR",2017-07-12 06:15:00,29.4,""," ",2017,7,12
"83","GRBLPR",2017-07-12 06:30:00,29.2,""," ",2017,7,12
"84","GRBLPR",2017-07-12 06:45:00,29.1,""," ",2017,7,12
"85","GRBLPR",2017-07-12 07:00:00,28.9,""," ",2017,7,12
"86","GRBLPR",2017-07-12 07:15:00,28.9,""," ",2017,7,12
"87","GRBLPR",2017-07-12 07:30:00,28.7,""," ",2017,7,12
"88","GRBLPR",2017-07-12 07:45:00,28.5,""," ",2017,7,12
"89","GRBLPR",2017-07-12 08:00:00,28.4,""," ",2017,7,12
"90","GRBLPR",2017-07-12 08:15:00,28.2,""," ",2017,7,12
"91","GRBLPR",2017-07-12 08:30:00,28.1,""," ",2017,7,12
"92","GRBLPR",2017-07-12 08:45:00,28,""," ",2017,7,12
"93","GRBLPR",2017-07-12 09:00:00,27.9,""," ",2017,7,12
"94","GRBLPR",2017-07-12 09:15:00,27.8,""," ",2017,7,12
"95","GRBLPR",2017-07-12 09:30:00,27.6,""," ",2017,7,12
"96","GRBLPR",2017-07-12 09:45:00,27.5,""," ",2017,7,12
"97","GRBLPR",2017-07-12 10:00:00,27.5,""," ",2017,7,12
"98","GRBLPR",2017-07-12 10:15:00,27.4,""," ",2017,7,12
"99","GRBLPR",2017-07-12 10:30:00,27.2,""," ",2017,7,12
"100","GRBLPR",2017-07-12 10:45:00,26.9,""," ",2017,7,12
"101","GRBLPR",2017-07-12 11:00:00,27,""," ",2017,7,12
"102","GRBLPR",2017-07-12 11:15:00,27,""," ",2017,7,12
"103","GRBLPR",2017-07-12 11:30:00,27.2,""," ",2017,7,12
"104","GRBLPR",2017-07-12 11:45:00,27.5,""," ",2017,7,12
"105","GRBLPR",2017-07-12 12:00:00,27.6,""," ",2017,7,12
"106","GRBLPR",2017-07-12 12:15:00,27.8,""," ",2017,7,12
"107","GRBLPR",2017-07-12 12:30:00,27.8,""," ",2017,7,12
"108","GRBLPR",2017-07-12 12:45:00,28,""," ",2017,7,12
"109","GRBLPR",2017-07-12 13:00:00,28.1,""," ",2017,7,12
"110","GRBLPR",2017-07-12 13:15:00,28.6,""," ",2017,7,12
"111","GRBLPR",2017-07-12 13:30:00,28.5,""," ",2017,7,12
"112","GRBLPR",2017-07-12 13:45:00,28.9,""," ",2017,7,12
"113","GRBLPR",2017-07-12 14:00:00,29.1,""," ",2017,7,12
"114","GRBLPR",2017-07-12 14:15:00,29.2,""," ",2017,7,12
"115","GRBLPR",2017-07-12 14:30:00,29.5,""," ",2017,7,12
"116","GRBLPR",2017-07-12 14:45:00,29.5,""," ",2017,7,12
"117","GRBLPR",2017-07-12 15:00:00,29.7,""," ",2017,7,12
"118","GRBLPR",2017-07-12 15:15:00,29.9,""," ",2017,7,12
"119","GRBLPR",2017-07-12 15:30:00,30,""," ",2017,7,12
"120","GRBLPR",2017-07-12 15:45:00,30.1,""," ",2017,7,12
"121","GRBLPR",2017-07-12 16:00:00,30.2,""," ",2017,7,12
"122","GRBLPR",2017-07-12 16:15:00,30.2,""," ",2017,7,12
"123","GRBLPR",2017-07-12 16:30:00,30.3,""," ",2017,7,12
"124","GRBLPR",2017-07-12 16:45:00,30.3,""," ",2017,7,12
"125","GRBLPR",2017-07-12 17:00:00,30.3,""," ",2017,7,12
"126","GRBLPR",2017-07-12 17:15:00,30.1,""," ",2017,7,12
"127","GRBLPR",2017-07-12 17:30:00,29.9,""," ",2017,7,12
"128","GRBLPR",2017-07-12 17:45:00,29.7,""," ",2017,7,12
"129","GRBLPR",2017-07-12 18:00:00,29.5,""," ",2017,7,12
"130","GRBLPR",2017-07-12 18:15:00,29.3,""," ",2017,7,12
"131","GRBLPR",2017-07-12 18:30:00,29.2,""," ",2017,7,12
"132","GRBLPR",2017-07-12 18:45:00,29.2,""," ",2017,7,12
"133","GRBLPR",2017-07-12 19:00:00,29.2,""," ",2017,7,12
"134","GRBLPR",2017-07-12 19:15:00,29,""," ",2017,7,12
"135","GRBLPR",2017-07-12 19:30:00,28.9,""," ",2017,7,12
"136","GRBLPR",2017-07-12 19:45:00,28.7,""," ",2017,7,12
"137","GRBLPR",2017-07-12 20:00:00,28.5,""," ",2017,7,12
"138","GRBLPR",2017-07-12 20:15:00,28.4,""," ",2017,7,12
"139","GRBLPR",2017-07-12 20:30:00,28.3,""," ",2017,7,12
"140","GRBLPR",2017-07-12 20:45:00,28.1,""," ",2017,7,12
"141","GRBLPR",2017-07-12 21:00:00,28,""," ",2017,7,12
"142","GRBLPR",2017-07-12 21:15:00,27.9,""," ",2017,7,12
"143","GRBLPR",2017-07-12 21:30:00,27.8,""," ",2017,7,12
"144","GRBLPR",2017-07-12 21:45:00,27.7,""," ",2017,7,12
"145","GRBLPR",2017-07-12 22:00:00,27.6,""," ",2017,7,12
"146","GRBLPR",2017-07-12 22:15:00,27.5,""," ",2017,7,12
"147","GRBLPR",2017-07-12 22:30:00,27.4,""," ",2017,7,12
"148","GRBLPR",2017-07-12 22:45:00,27.2,""," ",2017,7,12
"149","GRBLPR",2017-07-12 23:00:00,27.3,""," ",2017,7,12
"150","GRBLPR",2017-07-12 23:15:00,27.4,""," ",2017,7,12
"151","GRBLPR",2017-07-12 23:30:00,27.5,""," ",2017,7,12
"152","GRBLPR",2017-07-12 23:45:00,27.9,""," ",2017,7,12
"153","GRBLPR",2017-07-13 00:00:00,28,""," ",2017,7,13
"154","GRBLPR",2017-07-13 00:15:00,28.1,""," ",2017,7,13
"155","GRBLPR",2017-07-13 00:30:00,28.2,""," ",2017,7,13
"156","GRBLPR",2017-07-13 00:45:00,28.3,""," ",2017,7,13
"157","GRBLPR",2017-07-13 01:00:00,28.8,""," ",2017,7,13
"158","GRBLPR",2017-07-13 01:15:00,29,""," ",2017,7,13
"159","GRBLPR",2017-07-13 01:30:00,29.1,""," ",2017,7,13
"160","GRBLPR",2017-07-13 01:45:00,29.2,""," ",2017,7,13
"161","GRBLPR",2017-07-13 02:00:00,29.5,""," ",2017,7,13
"162","GRBLPR",2017-07-13 02:15:00,29.6,""," ",2017,7,13
"163","GRBLPR",2017-07-13 02:30:00,29.8,""," ",2017,7,13
"164","GRBLPR",2017-07-13 02:45:00,29.9,""," ",2017,7,13
"165","GRBLPR",2017-07-13 03:00:00,30,""," ",2017,7,13
"166","GRBLPR",2017-07-13 03:15:00,30,""," ",2017,7,13
"167","GRBLPR",2017-07-13 03:30:00,30.2,""," ",2017,7,13
"168","GRBLPR",2017-07-13 03:45:00,30.3,""," ",2017,7,13
"169","GRBLPR",2017-07-13 04:00:00,30.3,""," ",2017,7,13
"170","GRBLPR",2017-07-13 04:15:00,30.4,""," ",2017,7,13
"171","GRBLPR",2017-07-13 04:30:00,30.4,""," ",2017,7,13
"172","GRBLPR",2017-07-13 04:45:00,30.4,""," ",2017,7,13
"173","GRBLPR",2017-07-13 05:00:00,30.4,""," ",2017,7,13
"174","GRBLPR",2017-07-13 05:15:00,30.3,""," ",2017,7,13
"175","GRBLPR",2017-07-13 05:30:00,30.1,""," ",2017,7,13
"176","GRBLPR",2017-07-13 05:45:00,29.9,""," ",2017,7,13
"177","GRBLPR",2017-07-13 06:00:00,29.9,""," ",2017,7,13
"178","GRBLPR",2017-07-13 06:15:00,29.6,""," ",2017,7,13
"179","GRBLPR",2017-07-13 06:30:00,29.6,""," ",2017,7,13
"180","GRBLPR",2017-07-13 06:45:00,29.5,""," ",2017,7,13
"181","GRBLPR",2017-07-13 07:00:00,29.4,""," ",2017,7,13
"182","GRBLPR",2017-07-13 07:15:00,29.3,""," ",2017,7,13
"183","GRBLPR",2017-07-13 07:30:00,29.1,""," ",2017,7,13
"184","GRBLPR",2017-07-13 07:45:00,29,""," ",2017,7,13
"185","GRBLPR",2017-07-13 08:00:00,28.8,""," ",2017,7,13
"186","GRBLPR",2017-07-13 08:15:00,28.6,""," ",2017,7,13
"187","GRBLPR",2017-07-13 08:30:00,28.5,""," ",2017,7,13
"188","GRBLPR",2017-07-13 08:45:00,28.4,""," ",2017,7,13
"189","GRBLPR",2017-07-13 09:00:00,28.3,""," ",2017,7,13
"190","GRBLPR",2017-07-13 09:15:00,28.1,""," ",2017,7,13
"191","GRBLPR",2017-07-13 09:30:00,28.2,""," ",2017,7,13
"192","GRBLPR",2017-07-13 09:45:00,27.9,""," ",2017,7,13
"193","GRBLPR",2017-07-13 10:00:00,27.8,""," ",2017,7,13
"194","GRBLPR",2017-07-13 10:15:00,27.7,""," ",2017,7,13
"195","GRBLPR",2017-07-13 10:30:00,27.6,""," ",2017,7,13
"196","GRBLPR",2017-07-13 10:45:00,27.6,""," ",2017,7,13
"197","GRBLPR",2017-07-13 11:00:00,27.5,""," ",2017,7,13
"198","GRBLPR",2017-07-13 11:15:00,27.3,""," ",2017,7,13
"199","GRBLPR",2017-07-13 11:30:00,27.1,""," ",2017,7,13
"200","GRBLPR",2017-07-13 11:45:00,27.1,""," ",2017,7,13
"201","GRBLPR",2017-07-13 12:00:00,27.2,""," ",2017,7,13
"202","GRBLPR",2017-07-13 12:15:00,27.4,""," ",2017,7,13
"203","GRBLPR",2017-07-13 12:30:00,27.7,""," ",2017,7,13
"204","GRBLPR",2017-07-13 12:45:00,27.7,""," ",2017,7,13
"205","GRBLPR",2017-07-13 13:00:00,27.9,""," ",2017,7,13
"206","GRBLPR",2017-07-13 13:15:00,28,""," ",2017,7,13
"207","GRBLPR",2017-07-13 13:30:00,28.2,""," ",2017,7,13
"208","GRBLPR",2017-07-13 13:45:00,28.7,""," ",2017,7,13
"209","GRBLPR",2017-07-13 14:00:00,28.7,""," ",2017,7,13
"210","GRBLPR",2017-07-13 14:15:00,28.9,""," ",2017,7,13
"211","GRBLPR",2017-07-13 14:30:00,29.1,""," ",2017,7,13
"212","GRBLPR",2017-07-13 14:45:00,29.1,""," ",2017,7,13
"213","GRBLPR",2017-07-13 15:00:00,29.4,""," ",2017,7,13
"214","GRBLPR",2017-07-13 15:15:00,29.6,""," ",2017,7,13
"215","GRBLPR",2017-07-13 15:30:00,29.7,""," ",2017,7,13
"216","GRBLPR",2017-07-13 15:45:00,29.9,""," ",2017,7,13
"217","GRBLPR",2017-07-13 16:00:00,29.9,""," ",2017,7,13
"218","GRBLPR",2017-07-13 16:15:00,30.1,""," ",2017,7,13
"219","GRBLPR",2017-07-13 16:30:00,30,""," ",2017,7,13
"220","GRBLPR",2017-07-13 16:45:00,30.1,""," ",2017,7,13
"221","GRBLPR",2017-07-13 17:00:00,30.1,""," ",2017,7,13
"222","GRBLPR",2017-07-13 17:15:00,30.2,""," ",2017,7,13
"223","GRBLPR",2017-07-13 17:30:00,30.2,""," ",2017,7,13
"224","GRBLPR",2017-07-13 17:45:00,30.2,""," ",2017,7,13
"225","GRBLPR",2017-07-13 18:00:00,30,""," ",2017,7,13
"226","GRBLPR",2017-07-13 18:15:00,29.8,""," ",2017,7,13
"227","GRBLPR",2017-07-13 18:30:00,29.6,""," ",2017,7,13
"228","GRBLPR",2017-07-13 18:45:00,29.4,""," ",2017,7,13
"229","GRBLPR",2017-07-13 19:00:00,29.4,""," ",2017,7,13
"230","GRBLPR",2017-07-13 19:15:00,29.3,""," ",2017,7,13
"231","GRBLPR",2017-07-13 19:30:00,29.3,""," ",2017,7,13
"232","GRBLPR",2017-07-13 19:45:00,29.1,""," ",2017,7,13
"233","GRBLPR",2017-07-13 20:00:00,28.9,""," ",2017,7,13
"234","GRBLPR",2017-07-13 20:15:00,28.8,""," ",2017,7,13
"235","GRBLPR",2017-07-13 20:30:00,28.7,""," ",2017,7,13
"236","GRBLPR",2017-07-13 20:45:00,28.6,""," ",2017,7,13
"237","GRBLPR",2017-07-13 21:00:00,28.4,""," ",2017,7,13
"238","GRBLPR",2017-07-13 21:15:00,28.3,""," ",2017,7,13
"239","GRBLPR",2017-07-13 21:30:00,28.2,""," ",2017,7,13
"240","GRBLPR",2017-07-13 21:45:00,28.2,""," ",2017,7,13
"241","GRBLPR",2017-07-13 22:00:00,28,""," ",2017,7,13
"242","GRBLPR",2017-07-13 22:15:00,27.9,""," ",2017,7,13
"243","GRBLPR",2017-07-13 22:30:00,27.9,""," ",2017,7,13
"244","GRBLPR",2017-07-13 22:45:00,27.7,""," ",2017,7,13
"245","GRBLPR",2017-07-13 23:00:00,27.6,""," ",2017,7,13
"246","GRBLPR",2017-07-13 23:15:00,27.5,""," ",2017,7,13
"247","GRBLPR",2017-07-13 23:30:00,27.3,""," ",2017,7,13
"248","GRBLPR",2017-07-13 23:45:00,27.4,""," ",2017,7,13
"249","GRBLPR",2017-07-14 00:00:00,27.4,""," ",2017,7,14
"250","GRBLPR",2017-07-14 00:15:00,27.6,""," ",2017,7,14
"251","GRBLPR",2017-07-14 00:30:00,27.9,""," ",2017,7,14
"252","GRBLPR",2017-07-14 00:45:00,28,""," ",2017,7,14
"253","GRBLPR",2017-07-14 01:00:00,28.1,""," ",2017,7,14
"254","GRBLPR",2017-07-14 01:15:00,28.2,""," ",2017,7,14
"255","GRBLPR",2017-07-14 01:30:00,28.4,""," ",2017,7,14
"256","GRBLPR",2017-07-14 01:45:00,28.7,""," ",2017,7,14
"257","GRBLPR",2017-07-14 02:00:00,28.9,""," ",2017,7,14
"258","GRBLPR",2017-07-14 02:15:00,29.1,""," ",2017,7,14
"259","GRBLPR",2017-07-14 02:30:00,29.1,""," ",2017,7,14
"260","GRBLPR",2017-07-14 02:45:00,29.3,""," ",2017,7,14
"261","GRBLPR",2017-07-14 03:00:00,29.6,""," ",2017,7,14
"262","GRBLPR",2017-07-14 03:15:00,29.7,""," ",2017,7,14
"263","GRBLPR",2017-07-14 03:30:00,29.7,""," ",2017,7,14
"264","GRBLPR",2017-07-14 03:45:00,29.9,""," ",2017,7,14
"265","GRBLPR",2017-07-14 04:00:00,30,""," ",2017,7,14
"266","GRBLPR",2017-07-14 04:15:00,29.9,""," ",2017,7,14
"267","GRBLPR",2017-07-14 04:30:00,30.1,""," ",2017,7,14
"268","GRBLPR",2017-07-14 04:45:00,30.2,""," ",2017,7,14
