"","Day","Month","Year","Sal_mean","Sal_se","Sal_min","Sal_max"
"110",2,12,2019,25,0.1,22.5,28.5
"111",2,12,2020,22.2,0.6,3.6,26.2
"112",2,12,2021,20.2,0.5,10.5,24.5
"113",2,12,2022,21.9,0.6,5.8,26.6
"114",2,12,2023,NA,NA,Inf,-Inf
"115",3,1,2023,19.2,0.4,8.5,25.2
"116",3,1,2024,17.2,0.3,10.7,22.9
"117",3,2,2023,17.5,0.4,5.4,24.8
"118",3,3,2023,24,0.2,18.8,27.2
"119",3,4,2023,15.5,0.6,1.8,22.8
"120",3,5,2018,17.1,0.5,5.2,23.7
"121",3,5,2020,15.8,0.6,3.2,22.6
"122",3,5,2022,20.2,0.4,10.9,23.8
"123",3,5,2023,6.5,0.5,0.1,14.4
"124",3,6,2017,16.4,0.5,6.6,20.8
"125",3,6,2018,24.9,0.3,19.2,27.2
"126",3,6,2020,24.9,0.3,19.1,28.2
"127",3,6,2021,24.2,0.4,16,26.9
"128",3,6,2022,25.6,0.2,18.9,27.6
"129",3,6,2023,22.5,0.3,15.3,26.1
"130",3,7,2017,24.3,0.3,16.5,27
"131",3,7,2018,25.8,0.3,19.5,28.6
"132",3,7,2019,21.5,0.4,12.8,25.2
"133",3,7,2020,25.1,0.4,16.3,28.5
"134",3,7,2021,28.7,0.2,24.8,30.5
"135",3,7,2022,27.5,0.2,22.5,29.5
"136",3,7,2023,15.7,0.7,0.5,21.9
"137",3,8,2017,27.2,0.2,23.6,29.3
"138",3,8,2018,24.4,0.3,16.5,27.1
"139",3,8,2019,25.7,0.3,20.5,28.7
"140",3,8,2020,28.3,0.2,24.6,30.3
"141",3,8,2021,19.6,0.3,8.5,23.4
"142",3,8,2022,29.4,0.2,26.2,30.9
"143",3,8,2023,21.1,0.4,12.1,25.6
"144",3,9,2017,28.2,0.2,24.6,29.9
"145",3,9,2018,25.4,0.2,20,27.8
"146",3,9,2019,25.3,0.4,18,28.9
"147",3,9,2020,29.7,0.1,26.7,31.3
"148",3,9,2021,22.1,0.4,8.7,26.3
"149",3,9,2022,27.9,0.3,22.2,30.5
"150",3,9,2023,21.1,0.5,11.5,25.2
"151",3,10,2017,28.1,0.2,24.7,30.3
"152",3,10,2018,21.7,0.4,12.4,25.5
"153",3,10,2019,29.4,0.2,25.6,31.2
"154",3,10,2020,30.1,0.2,27.3,31.7
"155",3,10,2021,24.9,0.3,19.5,27.6
"156",3,10,2022,NA,NA,Inf,-Inf
"157",3,10,2023,20.9,0.4,13.3,24.6
"158",3,11,2017,NA,NA,Inf,-Inf
"159",3,11,2018,11.7,0.5,1.4,21.6
"160",3,11,2019,23.1,0.3,14.4,26.7
"161",3,11,2020,26.7,0.3,20.2,29.6
"162",3,11,2021,13.6,0.7,0.9,21.1
"163",3,11,2022,24.7,0.3,16.4,27.6
"164",3,11,2023,22.7,0.3,11,25.4
"165",3,12,2017,21.7,0.5,12.5,27
"166",3,12,2018,11.4,0.8,1.5,20.4
"167",3,12,2019,25.1,0.2,18.8,28.9
"168",3,12,2020,21.7,0.5,7.1,25.5
"169",3,12,2021,19.2,0.5,8.7,24.3
"170",3,12,2022,21.6,0.5,7.7,25.7
"171",3,12,2023,NA,NA,Inf,-Inf
"172",4,1,2023,19.1,0.5,6.6,25.4
"173",4,1,2024,17.8,0.3,10,23.2
"174",4,2,2023,15.3,0.5,4.4,22
"175",4,3,2023,24.5,0.2,21.7,28.5
"176",4,4,2023,15.5,0.6,2.2,22.5
"177",4,5,2018,18,0.5,6.2,24.1
"178",4,5,2020,16,0.6,3.9,22.5
"179",4,5,2022,20.9,0.4,11.1,25.2
"180",4,5,2023,9.3,0.6,0.1,16
"181",4,6,2017,16.9,0.5,7,21.2
"182",4,6,2018,25.4,0.2,20,27.5
"183",4,6,2020,25,0.3,19.2,28.3
"184",4,6,2021,24.1,0.3,16.6,26.8
"185",4,6,2022,25.4,0.3,18.2,27.5
"186",4,6,2023,22.8,0.3,15.2,26.3
"187",4,7,2017,24.3,0.3,17,26.9
"188",4,7,2018,26,0.3,19.9,28.4
"189",4,7,2019,21.5,0.4,13.6,25.6
"190",4,7,2020,24.7,0.4,16.9,28.5
"191",4,7,2021,28.1,0.2,22.9,30.1
"192",4,7,2022,27.6,0.2,22.7,29.6
"193",4,7,2023,12.5,0.8,0.2,19.5
"194",4,8,2017,27.2,0.2,23.1,29.3
"195",4,8,2018,23.8,0.4,14.3,27.2
"196",4,8,2019,26.2,0.3,21,28.9
"197",4,8,2020,28.4,0.2,24.5,30.3
"198",4,8,2021,19.9,0.3,11.2,24.1
"199",4,8,2022,29.6,0.1,26.5,31
"200",4,8,2023,21.9,0.4,12.8,26
"201",4,9,2017,27.3,0.2,23.2,29.9
"202",4,9,2018,25.4,0.3,20,27.9
"203",4,9,2019,25.9,0.3,18.9,29.1
"204",4,9,2020,29.9,0.1,27.1,31.4
"205",4,9,2021,20.9,0.4,7.6,25.4
"206",4,9,2022,28.2,0.3,21.6,30.6
"207",4,9,2023,22.1,0.4,14.3,25.6
"208",4,10,2017,28,0.2,24,30.3
"209",4,10,2018,20.2,0.6,8.6,24.9
"210",4,10,2019,29.4,0.2,25.7,31.2
"211",4,10,2020,30.2,0.1,27,31.8
"212",4,10,2021,24.7,0.3,19,27.7
"213",4,10,2022,NA,NA,Inf,-Inf
"214",4,10,2023,22,0.3,15.2,24.8
"215",4,11,2017,NA,NA,Inf,-Inf
"216",4,11,2018,6.6,0.4,0.2,15.6
"217",4,11,2019,23.4,0.3,13.8,26.2
"218",4,11,2020,26.6,0.3,19.2,29.7
"219",4,11,2021,14.1,0.6,2.2,20.3
"220",4,11,2022,24.1,0.4,16.4,27.6
"221",4,11,2023,23.1,0.2,14.4,25.6
"222",4,12,2017,21.8,0.5,12.9,27.3
"223",4,12,2019,24.2,0.1,21,26.9
"224",4,12,2020,22.3,0.3,12.2,25.5
"225",4,12,2021,19.5,0.5,9.1,25.3
"226",4,12,2022,21.2,0.6,6.9,26.3
"227",4,12,2023,NA,NA,Inf,-Inf
"228",5,1,2023,19.8,0.4,7.1,26
"229",5,1,2024,17.7,0.3,10.2,24.3
"230",5,2,2023,18.1,0.4,9.1,24
"231",5,3,2023,23.2,0.3,14.2,26.4
"232",5,4,2023,16.1,0.5,3.9,22.6
"233",5,5,2018,18.5,0.5,6.4,23.8
"234",5,5,2020,15.9,0.5,5.6,21.6
"235",5,5,2022,21.3,0.4,11.4,25.7
"236",5,5,2023,9.3,0.6,0.1,15.9
"237",5,6,2017,17.4,0.5,7.4,21.4
"238",5,6,2018,25.7,0.2,20.8,27.5
"239",5,6,2020,25,0.3,19,28.5
"240",5,6,2021,24.5,0.3,17.4,27
"241",5,6,2022,25.6,0.2,17.4,27.5
"242",5,6,2023,22.9,0.4,14.8,26.4
"243",5,7,2017,24,0.3,16.9,26.5
"244",5,7,2018,26.1,0.3,20.5,28.4
"245",5,7,2019,21.2,0.4,13.4,25.8
"246",5,7,2020,25,0.4,17,28.6
"247",5,7,2021,27.2,0.3,20.3,29.8
"248",5,7,2022,27.8,0.2,23.3,29.7
"249",5,7,2023,11.9,0.7,0.2,19.7
"250",5,8,2017,27.3,0.2,23.4,29.4
"251",5,8,2018,23.1,0.4,12.3,26.9
"252",5,8,2019,26.4,0.3,21.2,29
"253",5,8,2020,28.4,0.2,24.7,30.4
"254",5,8,2021,20.4,0.3,11.5,25
"255",5,8,2022,29.6,0.1,26.6,31
"256",5,8,2023,22.3,0.4,13.3,26.2
"257",5,9,2017,27.5,0.2,23.4,29.8
"258",5,9,2018,25.5,0.3,20.1,28.4
"259",5,9,2019,26.2,0.3,20,29.1
"260",5,9,2020,29.8,0.1,27.1,31.3
"261",5,9,2021,20,0.4,9.7,24.7
"262",5,9,2022,28,0.3,22.6,30.3
"263",5,9,2023,23.5,0.3,17.2,26
"264",5,10,2017,28.3,0.2,24.4,30.4
"265",5,10,2018,19.6,0.6,6.7,24.8
"266",5,10,2019,29.3,0.2,25.5,31.1
"267",5,10,2020,30.4,0.1,27.7,31.9
"268",5,10,2021,24.3,0.3,18.1,27.7
"269",5,10,2022,NA,NA,Inf,-Inf
"270",5,10,2023,22.6,0.3,15.8,24.9
"271",5,11,2017,NA,NA,Inf,-Inf
"272",5,11,2018,8,0.6,0.1,18.6
"273",5,11,2019,23.8,0.2,16.4,26.8
"274",5,11,2020,26.3,0.3,19.3,29.5
"275",5,11,2021,15.4,0.6,3.6,21.5
"276",5,11,2022,23.7,0.4,15.6,27.9
"277",5,11,2023,23.7,0.2,17,26.6
"278",5,12,2017,22.2,0.5,13.1,27.7
"279",5,12,2019,24.1,0.2,20.4,27.2
"280",5,12,2020,22.8,0.3,12.3,26.6
"281",5,12,2021,20.1,0.5,9.8,25.9
"282",5,12,2022,21.7,0.5,8.4,26.1
"283",5,12,2023,22.9,0.2,18.7,26
"284",6,1,2023,19.6,0.5,6,25.9
"285",6,1,2024,18.2,0.3,10.2,23.8
"286",6,2,2023,20.4,0.3,13,26.2
"287",6,3,2023,21.1,0.4,12,26.6
"288",6,4,2023,16,0.6,4.3,23.1
"289",6,5,2018,19.9,0.3,9.9,24.3
"290",6,5,2020,15.8,0.5,5.5,20.7
"291",6,5,2021,21.3,0.7,8.9,26.6
"292",6,5,2022,21.8,0.3,12.2,25.5
"293",6,5,2023,10.1,0.6,0.2,19.2
"294",6,6,2017,18.2,0.4,8.3,21.8
"295",6,6,2018,25.4,0.2,19.5,27.5
"296",6,6,2020,25.3,0.3,18.8,28.7
"297",6,6,2021,24.6,0.3,18.2,27.1
"298",6,6,2022,25.5,0.2,18.9,27.6
"299",6,6,2023,22.8,0.4,13.9,26.7
"300",6,7,2017,23.8,0.3,16.7,26.7
"301",6,7,2018,26.1,0.2,20.6,28.5
"302",6,7,2019,22.7,0.4,15.2,26.3
"303",6,7,2020,25,0.4,17.4,28.7
"304",6,7,2021,26.8,0.3,18.5,29.4
"305",6,7,2022,27.8,0.2,23.3,29.7
"306",6,7,2023,12.5,0.7,0.5,20.4
"307",6,8,2017,27.3,0.2,23.2,29.4
"308",6,8,2018,22.2,0.5,10.1,26.5
"309",6,8,2019,26.7,0.3,21.2,29.2
"310",6,8,2020,28.6,0.2,24.9,30.4
"311",6,8,2021,19.8,0.4,10.5,24
"312",6,8,2022,29.6,0.1,26.6,31
"313",6,8,2023,22.9,0.4,14,26.3
"314",6,9,2017,27.3,0.3,22.7,29.9
"315",6,9,2018,25.4,0.3,20.2,28.4
"316",6,9,2019,26.7,0.3,19.5,29.4
"317",6,9,2020,29.9,0.1,27.3,31.4
"318",6,9,2021,19.5,0.4,9.5,24.4
"319",6,9,2022,27.4,0.3,21.7,30.1
"320",6,9,2023,24.2,0.2,17.2,26.2
"321",6,10,2017,28.4,0.2,24.5,30.6
"322",6,10,2018,19.4,0.5,8.4,24.2
"323",6,10,2019,29.4,0.2,25.7,31.2
"324",6,10,2020,30.5,0.1,28,31.9
"325",6,10,2021,24.2,0.4,17.6,28
"326",6,10,2022,NA,NA,Inf,-Inf
"327",6,10,2023,23.3,0.2,16.3,25.2
"328",6,11,2017,NA,NA,Inf,-Inf
"329",6,11,2018,11.1,0.6,0.6,19.7
"330",6,11,2019,23.3,0.3,15.2,26.3
"331",6,11,2020,26.5,0.3,18.9,29.4
"332",6,11,2021,15.8,0.6,4.5,21.8
"333",6,11,2022,23.7,0.5,14.6,28.2
"334",6,11,2023,24.4,0.1,20.5,26.7
"335",6,12,2017,22,0.6,11.6,27.6
"336",6,12,2019,23.5,0.1,19.9,26.5
"337",6,12,2020,21.2,0.6,4,26.6
"338",6,12,2021,20.6,0.5,10.5,26.7
"339",6,12,2022,21.5,0.5,10,25.7
"340",6,12,2023,22.5,0.2,16.4,25.7
"341",7,1,2023,18.6,0.5,5.4,24.9
"342",7,1,2024,20.3,0.3,15,26.4
"343",7,2,2023,21.5,0.3,14.4,27.2
"344",7,3,2023,22.4,0.3,13.7,27.2
"345",7,4,2023,15.5,0.6,3.2,22.8
"346",7,5,2018,20.5,0.3,12.2,24.6
"347",7,5,2020,16.9,0.5,5.9,21.4
"348",7,5,2021,20.5,0.5,9,25.6
"349",7,5,2022,22.7,0.2,16.2,25.9
"350",7,5,2023,11.7,0.6,0.8,20.6
"351",7,6,2017,16.4,0.6,5.5,21.7
"352",7,6,2018,24.9,0.3,18.3,27.2
"353",7,6,2020,25.6,0.3,19.2,28.9
"354",7,6,2021,24.6,0.3,18.7,27.2
"355",7,6,2022,25.2,0.2,19.5,27
"356",7,6,2023,22.9,0.4,14.1,26.4
"357",7,7,2017,24.3,0.3,16.8,26.8
"358",7,7,2018,26.2,0.3,20.7,28.6
"359",7,7,2019,23.3,0.3,16,26.5
"360",7,7,2020,25.1,0.4,17.5,28.6
"361",7,7,2021,26.5,0.3,19,29.1
"362",7,7,2022,27.9,0.2,23.8,29.7
"363",7,7,2023,13.9,0.6,1.6,20.7
"364",7,8,2017,27.3,0.2,23.3,29.5
"365",7,8,2018,21.8,0.5,10.6,26.1
"366",7,8,2019,27,0.3,21.5,29.4
"367",7,8,2020,28.7,0.2,25.2,30.4
"368",7,8,2021,19.7,0.4,10.8,24.8
"369",7,8,2022,29.5,0.2,26.6,31
"370",7,8,2023,23.8,0.3,16.2,26.5
"371",7,9,2017,26.7,0.3,20.8,29.8
"372",7,9,2018,25.5,0.3,19.2,28.9
"373",7,9,2019,27.7,0.2,21.5,29.6
"374",7,9,2020,30,0.1,27.6,31.3
"375",7,9,2021,19.3,0.4,10.3,23.6
"376",7,9,2022,26.8,0.3,19.8,30
"377",7,9,2023,24.6,0.2,18.2,26.7
"378",7,10,2017,28.6,0.2,25.1,30.7
"379",7,10,2018,19.4,0.5,9.2,24.3
"380",7,10,2019,29.2,0.2,25.8,31.2
"381",7,10,2020,30.3,0.1,28,31.8
"382",7,10,2021,24.5,0.4,17.8,28.4
"383",7,10,2022,NA,NA,Inf,-Inf
"384",7,10,2023,23.9,0.2,17.5,25.7
"385",7,11,2017,19.3,0.5,9.9,24.7
"386",7,11,2018,9.4,0.6,0.2,17
"387",7,11,2019,23.1,0.3,15.1,26.5
"388",7,11,2020,26.9,0.3,20.2,29.4
"389",7,11,2021,16.8,0.6,5.6,22.8
"390",7,11,2022,23.8,0.5,13.4,28.3
"391",7,11,2023,23.8,0.1,20,26.4
"392",7,12,2017,21.2,0.6,9.7,27.3
"393",7,12,2019,23.1,0.2,18.3,26.4
"394",7,12,2020,21.6,0.3,8.9,25.7
"395",7,12,2021,20.1,0.6,9,25.8
"396",7,12,2022,21.4,0.5,7.4,25.5
"397",7,12,2023,22.3,0.2,18.4,25.7
"398",8,1,2023,18,0.5,5.5,24
"399",8,1,2024,19.5,0.3,11.6,24.5
"400",8,2,2023,20.3,0.4,10.4,25.6
"401",8,3,2023,22,0.3,14.5,27
"402",8,4,2023,16.1,0.5,4.1,23.5
"403",8,5,2018,20.1,0.3,11.5,24.2
"404",8,5,2020,17.4,0.5,7.6,22.5
"405",8,5,2021,21,0.4,8.8,25.6
"406",8,5,2022,22.9,0.2,17.3,25.7
"407",8,5,2023,13.5,0.5,1.6,22.9
"408",8,6,2017,13.5,0.7,2.9,20.3
"409",8,6,2018,24.6,0.3,18.5,27.1
"410",8,6,2020,25.9,0.3,19.3,28.9
"411",8,6,2021,24.7,0.3,18.6,27.2
"412",8,6,2022,24.8,0.3,18,26.9
"413",8,6,2023,22.8,0.4,14.1,26.5
"414",8,7,2017,24.5,0.3,18.3,27
"415",8,7,2018,26.2,0.3,21,28.8
"416",8,7,2019,23.8,0.3,16.6,26.7
"417",8,7,2020,25.6,0.3,18.5,28.7
"418",8,7,2021,26.2,0.3,20.2,28.8
"419",8,7,2022,27.8,0.2,23.7,29.9
"420",8,7,2023,15.7,0.5,4.1,21.7
"421",8,8,2017,27.4,0.2,23.5,29.5
"422",8,8,2018,21.6,0.4,12.6,25.2
"423",8,8,2019,26.7,0.3,21.6,29.2
"424",8,8,2020,28.9,0.2,25.6,30.5
"425",8,8,2021,19.7,0.4,10.9,23.9
"426",8,8,2022,29.4,0.2,26.3,31.1
"427",8,8,2023,23.6,0.3,15.7,26.5
"428",8,9,2017,25.3,0.5,16,29.5
"429",8,9,2018,25.4,0.3,19.8,28.8
"430",8,9,2019,26.8,0.2,22.3,29.2
"431",8,9,2020,30.1,0.1,26,31.4
"432",8,9,2021,19.5,0.4,10.8,23.2
"433",8,9,2022,26.3,0.4,18.1,29.9
"434",8,9,2023,24.6,0.2,18.3,26.7
"435",8,10,2017,28.8,0.2,24.8,30.8
"436",8,10,2018,19.9,0.5,10.4,24.7
"437",8,10,2019,29.1,0.2,25.3,31
"438",8,10,2020,30.4,0.1,27.4,31.8
"439",8,10,2021,25,0.4,18.5,28.8
"440",8,10,2022,NA,NA,Inf,-Inf
"441",8,10,2023,24.7,0.2,20.8,27.5
"442",8,11,2017,20.2,0.5,10.6,25.3
"443",8,11,2018,10.8,0.7,0.2,17.8
"444",8,11,2019,23.4,0.3,15.3,27.4
"445",8,11,2020,27.3,0.2,21.2,29.4
"446",8,11,2021,18.3,0.5,7.5,23.8
"447",8,11,2022,24.1,0.5,14.8,28.4
"448",8,11,2023,23.7,0.2,18.3,26.7
"449",8,12,2017,21.5,0.6,9.6,27.2
"450",8,12,2019,22.3,0.2,17,25.3
"451",8,12,2020,21.4,0.3,7.5,26.4
"452",8,12,2021,22.2,0.5,11.9,26.5
"453",8,12,2022,21.5,0.5,5.4,26.5
"454",8,12,2023,21.3,0.2,14.2,24.9
"455",9,1,2023,18.6,0.4,7.4,24.5
"456",9,1,2024,17.4,0.4,8.5,22.6
"457",9,2,2023,19.9,0.3,11.5,25.1
"458",9,3,2023,21.6,0.3,13.9,26.2
"459",9,4,2023,16.6,0.5,5.2,22.4
"460",9,5,2018,20.1,0.3,10.9,24.5
"461",9,5,2020,17.7,0.5,8.3,22.8
"462",9,5,2021,19.6,0.5,8.9,24.1
"463",9,5,2022,22.9,0.2,17.5,25.8
"464",9,5,2023,14.7,0.5,3.2,20.6
"465",9,6,2017,14.1,0.6,3.4,20
"466",9,6,2018,24.6,0.3,18.7,27.2
"467",9,6,2020,26.2,0.3,20,29
"468",9,6,2021,25.2,0.3,19.2,27.5
"469",9,6,2022,25.5,0.2,19.1,27.7
"470",9,6,2023,23.3,0.4,14.6,26.5
"471",9,7,2017,24.3,0.3,17.3,27.1
"472",9,7,2018,26.3,0.3,21.2,29.1
"473",9,7,2019,24.2,0.3,17.1,27.2
"474",9,7,2020,26,0.3,19.8,28.8
"475",9,7,2021,25.9,0.3,19.4,28.8
"476",9,7,2022,27.7,0.2,23.6,30
"477",9,7,2023,17.1,0.4,6.3,22.4
"478",9,8,2017,27.3,0.2,23.1,29.6
"479",9,8,2018,21.7,0.4,13.3,25.7
"480",9,8,2019,26.5,0.3,20.9,29
"481",9,8,2020,29.1,0.2,26,30.5
"482",9,8,2021,20,0.4,11.7,24.3
"483",9,8,2022,29.3,0.2,26.2,31.1
"484",9,8,2023,23.1,0.4,10.1,27.2
"485",9,9,2017,25,0.5,16.2,29.2
"486",9,9,2018,25.7,0.3,19.6,29.3
"487",9,9,2019,27.1,0.2,22.7,29.5
"488",9,9,2020,30.1,0.1,27.9,31.4
"489",9,9,2021,20.2,0.4,11.8,23.7
"490",9,9,2022,25.9,0.4,17.8,29.9
"491",9,9,2023,24.3,0.2,18.9,26.5
"492",9,10,2017,28.4,0.2,23.6,30.7
"493",9,10,2018,20,0.5,11,25.2
"494",9,10,2019,29.1,0.2,25.1,31.1
"495",9,10,2020,30.4,0.1,27.9,31.8
"496",9,10,2021,25.4,0.4,18.7,29
"497",9,10,2022,NA,NA,Inf,-Inf
"498",9,10,2023,23.9,0.2,18.7,26.5
"499",9,11,2017,20.5,0.5,10.7,25.1
"500",9,11,2018,12.3,0.6,1.1,19.9
"501",9,11,2019,22.6,0.3,14.6,25.9
"502",9,11,2020,26.8,0.3,20,29.4
"503",9,11,2021,19.3,0.5,9.1,24.8
"504",9,11,2022,25,0.4,17.2,28.8
"505",9,11,2023,23.3,0.2,17.7,26.2
"506",9,12,2017,22.5,0.5,10.5,27.3
"507",9,12,2019,21.1,0.5,13.7,24.2
"508",9,12,2020,20.3,0.4,12.4,25.3
"509",9,12,2021,23.2,0.4,13.2,27.6
