system:index,B,G,N,R,training_poly,.geo
0,111.5,125.0,78.5,116.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82437625088734,43.11576944699799]}"
1,107.0,119.0,144.5,103.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.73566761658054,43.06960502454708]}"
2,144.5,154.0,150.5,142.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86241092001696,43.071985560049995]}"
3,92.5,96.5,113.0,91.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74664502935248,43.082909073904894]}"
4,180.0,184.0,134.0,159.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90310460238757,43.0730545552381]}"
5,89.5,103.0,104.5,85.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82460082970837,43.116092840500265]}"
6,150.0,155.0,182.0,128.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90302375401201,43.073081504696624]}"
7,94.5,86.25,100.5,78.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74626773693315,43.07631543971945]}"
8,104.5,125.0,161.0,122.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.71726113640894,43.04915038552768]}"
9,127.5,145.5,100.5,143.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8243223519703,43.11581436276219]}"
10,112.0,128.0,103.0,111.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86163836887262,43.058663544386505]}"
11,88.0,84.0,26.0,75.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7871680318191,43.09970756971793]}"
12,92.0,101.25,124.5,83.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74619587171041,43.076261540802406]}"
13,165.0,170.0,131.0,141.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90300578770632,43.073180319377876]}"
14,82.5,83.0,105.5,68.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82459184655553,43.116218604640046]}"
15,98.5,87.5,92.5,83.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7466270630468,43.082945006516255]}"
16,102.0,111.0,175.0,88.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86242888632265,43.071743014923285]}"
17,81.0,84.5,31.5,85.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7871231160549,43.09970756971793]}"
18,121.0,137.0,109.0,113.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86177311616524,43.05884320744333]}"
19,109.5,115.5,129.5,107.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86375839294314,43.08251381517988]}"
20,103.5,121.5,88.0,109.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.824564897097,43.11600300897185]}"
21,132.5,151.0,100.5,139.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82448404872143,43.1159041942906]}"
22,131.5,154.0,83.0,154.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82444811611008,43.11587724483208]}"
23,122.0,125.0,168.0,100.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90300578770632,43.07309048784946]}"
24,106.5,110.0,105.5,100.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78742854325151,43.09951892350826]}"
25,108.5,124.5,63.5,119.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.733718272414,43.07035960938574]}"
26,83.0,88.0,124.0,82.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78739261064014,43.0995279066611]}"
27,100.5,113.0,85.0,107.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82452896448564,43.11606589104174]}"
28,120.0,135.0,110.0,114.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86173718355387,43.05882524113765]}"
29,99.5,125.5,187.5,115.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.71737791739586,43.04898868877654]}"
30,106.5,127.0,141.5,114.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82452896448564,43.11589521113776]}"
31,100.5,116.5,73.5,115.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78748244216855,43.09959078873099]}"
32,108.0,109.5,158.5,93.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8625726167681,43.07196759374432]}"
33,113.0,116.5,143.5,103.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86245583578116,43.07177894753465]}"
34,100.0,107.5,96.0,99.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82452896448564,43.11610182365311]}"
35,160.0,163.0,147.0,137.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90310460238757,43.07319828568356]}"
36,89.25,96.75,146.5,88.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74669892826952,43.08286415814069]}"
37,165.0,172.0,152.0,151.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90306866977622,43.07301862262673]}"
38,79.5,93.0,104.5,86.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78737464433446,43.09950994035542]}"
39,161.0,166.0,161.0,137.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90306866977622,43.07309947100231]}"
40,109.0,121.5,134.0,105.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86374042663746,43.08251381517988]}"
41,120.0,135.0,113.5,114.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8625277010039,43.07192267798011]}"
