system:index,B,G,N,R,training_poly,.geo
0,150.0,151.0,139.0,149.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82437625088734,43.11576944699799]}"
1,118.0,97.0,167.0,97.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.73566761658054,43.06960502454708]}"
2,144.0,140.0,171.0,136.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86241092001696,43.071985560049995]}"
3,139.0,140.0,195.0,134.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74664502935248,43.082909073904894]}"
4,140.0,139.0,121.0,138.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90310460238757,43.0730545552381]}"
5,145.0,149.0,126.0,147.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82460082970837,43.116092840500265]}"
6,143.0,147.0,116.0,144.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90302375401201,43.073081504696624]}"
7,140.0,143.0,189.0,130.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74626773693315,43.07631543971945]}"
8,128.0,110.0,193.0,107.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.71726113640894,43.04915038552768]}"
9,152.0,156.0,119.0,150.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8243223519703,43.11581436276219]}"
10,131.0,121.0,191.0,120.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86163836887262,43.058663544386505]}"
11,113.0,92.0,10.0,97.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7871680318191,43.09970756971793]}"
12,139.0,129.0,207.0,128.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74619587171041,43.076261540802406]}"
13,143.0,147.0,109.0,142.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90300578770632,43.073180319377876]}"
14,133.0,117.0,194.0,113.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82459184655553,43.116218604640046]}"
15,138.0,134.0,195.0,134.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7466270630468,43.082945006516255]}"
16,134.0,130.0,186.0,121.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86242888632265,43.071743014923285]}"
17,109.0,79.0,65.0,84.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7871231160549,43.09970756971793]}"
18,130.0,119.0,183.0,120.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86177311616524,43.05884320744333]}"
19,130.0,119.0,201.0,112.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86375839294314,43.08251381517988]}"
