system:index,B,G,N,R,training_poly,.geo
104,130.0,127.0,127.0,104.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86243786947549,43.072084374731254]}"
105,127.0,125.0,133.0,104.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86250075154537,43.07154538556078]}"
106,131.0,127.0,141.0,104.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8625277010039,43.07207539157841]}"
107,141.0,137.0,164.0,124.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74615095594622,43.076225608191045]}"
108,144.0,144.0,157.0,135.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74311465028589,43.06709872490439]}"
109,121.0,114.0,140.0,90.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8625277010039,43.071608267630666]}"
110,133.0,128.0,134.0,107.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86177311616524,43.058789308526286]}"
111,128.0,125.0,134.0,104.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86242888632265,43.071805896993176]}"
112,142.0,146.0,113.0,138.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82454693079133,43.11599402581901]}"
113,128.0,123.0,129.0,102.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86179108247092,43.058834224290486]}"
114,128.0,127.0,151.0,114.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78734769487593,43.09953688981395]}"
115,147.0,148.0,115.0,142.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82441218349871,43.11579639645651]}"
116,160.0,167.0,66.0,165.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.73370928926116,43.07032367677438]}"
117,126.0,124.0,136.0,116.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78723989704184,43.09957282242531]}"
118,137.0,133.0,139.0,121.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74657316412974,43.08291805705773]}"
119,131.0,131.0,122.0,117.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82446608241575,43.11612877311163]}"
120,136.0,132.0,144.0,123.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78746447586288,43.09957282242531]}"
121,150.0,150.0,143.0,135.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90302375401201,43.07312642046083]}"
122,127.0,125.0,135.0,106.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86375839294314,43.08254974779124]}"
123,120.0,109.0,131.0,86.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86253668415674,43.07159030132499]}"
124,109.0,103.0,92.0,85.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86372246033177,43.08268449508386]}"
125,151.0,154.0,148.0,138.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90310460238757,43.07298269001537]}"
126,134.0,125.0,153.0,116.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78748244216855,43.099617738189515]}"
127,141.0,141.0,117.0,131.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82461879601405,43.11600300897185]}"
128,142.0,147.0,101.0,141.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82434930142881,43.115787413303664]}"
129,134.0,136.0,150.0,119.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72047710512608,43.05806167314615]}"
130,150.0,154.0,162.0,141.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.71732401847882,43.04906055399927]}"
131,121.0,120.0,131.0,101.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86377635924882,43.08257669724977]}"
132,131.0,128.0,145.0,107.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86238397055844,43.071814880146015]}"
133,133.0,135.0,133.0,121.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82443913295722,43.116164705722994]}"
134,141.0,136.0,153.0,121.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72045015566755,43.05809760575751]}"
135,147.0,154.0,163.0,133.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90310460238757,43.07301862262673]}"
136,152.0,155.0,175.0,141.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.71724317010325,43.049033604540746]}"
137,97.0,91.0,72.0,77.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78734769487593,43.09970756971793]}"
