system:index,B,G,N,R,training_poly,.geo
873,125.0,137.0,216.0,87.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.69500088366844,43.07103334584883]}"
874,114.0,124.0,202.0,81.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.81795329660589,43.20223229309449]}"
875,99.0,88.0,105.0,56.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.81768380202065,43.20224127624733]}"
876,117.0,103.0,203.0,75.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72407036626255,43.050785319344776]}"
877,115.0,138.0,210.0,84.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.69434511351103,43.07100639639031]}"
878,103.0,105.0,166.0,69.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72400748419267,43.05135125797377]}"
879,125.0,143.0,223.0,96.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74099462621537,43.063244952335516]}"
880,134.0,160.0,240.0,112.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90631158795188,43.071419621421]}"
881,107.0,85.0,52.0,67.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.77996354324047,43.098620608224145]}"
882,114.0,128.0,201.0,80.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.81796227975873,43.20220534363597]}"
883,118.0,130.0,211.0,80.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72439375976484,43.0510727802357]}"
884,144.0,155.0,230.0,115.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90717397062464,43.071572335019304]}"
885,109.0,121.0,212.0,73.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72409731572108,43.05087515087319]}"
886,104.0,103.0,163.0,65.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.81779159985474,43.2017112702297]}"
887,145.0,149.0,206.0,113.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90697634126214,43.07186877906306]}"
888,104.0,99.0,171.0,66.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72380087167733,43.051566853641965]}"
889,122.0,132.0,217.0,85.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72400748419267,43.05114464545843]}"
890,99.0,82.0,93.0,61.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74165039637278,43.06320901972415]}"
891,121.0,123.0,215.0,77.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72462732173871,43.050991931860125]}"
892,107.0,99.0,178.0,62.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82488829059929,43.164305421798964]}"
893,106.0,104.0,107.0,64.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82509490311463,43.16433237125749]}"
894,131.0,140.0,215.0,97.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74124615449492,43.06306528927869]}"
895,107.0,126.0,217.0,77.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.93518344118348,43.03412157082436]}"
896,127.0,131.0,188.0,89.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72341459610514,43.05070447096921]}"
897,133.0,142.0,240.0,99.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90709312224907,43.07159030132499]}"
898,115.0,123.0,212.0,82.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7236212086205,43.05086616772035]}"
899,100.0,90.0,172.0,66.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74101259252105,43.062652064248]}"
900,110.0,96.0,144.0,73.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74144378385742,43.062804777846296]}"
901,124.0,134.0,221.0,87.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.93504869389086,43.03429225072834]}"
902,100.0,98.0,190.0,67.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74069818217161,43.0628496936105]}"
903,116.0,117.0,210.0,77.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7236212086205,43.0504619258425]}"
904,124.0,134.0,203.0,91.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72348646132788,43.05069548781636]}"
905,120.0,131.0,212.0,85.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72404341680404,43.051261426445365]}"
906,99.0,91.0,125.0,61.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.85527829666106,43.051234476986835]}"
907,131.0,139.0,201.0,99.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72384578744152,43.050982948707286]}"
908,99.0,94.0,154.0,61.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.69478528800026,43.07146453718521]}"
909,86.0,77.0,191.0,50.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90661701514848,43.071428604573846]}"
910,130.0,145.0,226.0,101.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.81845635316499,43.20188195013368]}"
911,121.0,136.0,185.0,92.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.69497393420993,43.07124894151702]}"
912,113.0,126.0,222.0,80.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.81775566724338,43.201899916439366]}"
913,108.0,112.0,152.0,70.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.81811499335703,43.20207059634335]}"
914,110.0,134.0,235.0,86.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.81807007759282,43.20191788274504]}"
915,139.0,145.0,213.0,110.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86081191881122,43.08159753359008]}"
916,119.0,122.0,215.0,83.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74088682838128,43.06283172730482]}"
917,109.0,113.0,199.0,78.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.81759397049224,43.201908899592205]}"
918,117.0,121.0,215.0,79.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7241871472495,43.0501564986459]}"
919,132.0,140.0,195.0,99.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7241242651796,43.050408026925446]}"
920,101.0,97.0,133.0,69.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.9067068466769,43.07176996438181]}"
921,124.0,135.0,219.0,85.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72386375374721,43.05149498841923]}"
922,147.0,153.0,202.0,112.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.85531422927242,43.05146803896071]}"
923,94.0,99.0,190.0,60.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.93494089605677,43.0341305539772]}"
924,114.0,124.0,206.0,82.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.69467749016617,43.07139267196248]}"
925,124.0,159.0,214.0,102.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.69508173204402,43.07097046377894]}"
926,130.0,152.0,239.0,110.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.81806109443998,43.20194483220357]}"
927,102.0,92.0,62.0,62.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.81879771297297,43.20180110175811]}"
928,134.0,142.0,207.0,105.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72353137709209,43.05066853835784]}"
929,130.0,141.0,220.0,95.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90706617279054,43.07173403177045]}"
930,137.0,138.0,216.0,99.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86084785142259,43.08148075260314]}"
931,99.0,103.0,199.0,67.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74064428325455,43.06319105341847]}"
932,115.0,121.0,210.0,74.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.724384776612,43.05128837590389]}"
933,137.0,158.0,232.0,120.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90677871189962,43.07182386329886]}"
934,150.0,165.0,231.0,121.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.81755803788087,43.20213347841324]}"
935,104.0,108.0,193.0,66.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7247351195728,43.05128837590389]}"
936,121.0,135.0,207.0,93.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.93536310424031,43.034013772990264]}"
937,103.0,105.0,201.0,69.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74028495714091,43.06275986208209]}"
938,100.0,95.0,163.0,64.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74045563704489,43.06273291262357]}"
939,124.0,147.0,241.0,93.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.9067068466769,43.07141063826816]}"
940,96.0,99.0,183.0,60.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.93522835694769,43.03399580668459]}"
941,108.0,89.0,107.0,62.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.81740532428257,43.20182805121664]}"
942,99.0,92.0,165.0,67.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7404107212807,43.06293054198608]}"
943,101.0,102.0,179.0,68.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74078801370003,43.06323596918268]}"
944,104.0,118.0,197.0,70.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.6946415575548,43.07086266594485]}"
945,101.0,110.0,233.0,70.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90689549288656,43.07144657087953]}"
946,100.0,86.0,185.0,58.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90700329072065,43.07156335186646]}"
947,135.0,164.0,226.0,115.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.85500880207582,43.05149498841923]}"
948,96.0,88.0,138.0,58.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.9353181884761,43.03447191378517]}"
949,100.0,101.0,120.0,62.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.81810601020419,43.20223229309449]}"
950,101.0,114.0,205.0,70.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.93509360965507,43.03426530126982]}"
951,133.0,130.0,198.0,92.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.81796227975873,43.201863983828]}"
952,115.0,102.0,168.0,76.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.77989167801775,43.098728406058235]}"
953,123.0,135.0,223.0,87.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.81779159985474,43.20205263003766]}"
954,108.0,87.0,35.0,60.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.81877076351444,43.20162143870129]}"
955,120.0,121.0,160.0,79.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.81743227374109,43.20212449526039]}"
956,101.0,90.0,174.0,62.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.93515649172497,43.03410360451868]}"
957,93.0,109.0,202.0,62.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.93535412108747,43.03399580668459]}"
958,119.0,130.0,212.0,84.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72429494508359,43.050605656287956]}"
959,139.0,146.0,190.0,109.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86100056502089,43.08184906186963]}"
960,125.0,135.0,225.0,92.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.740392754975,43.06311918819574]}"
961,121.0,140.0,221.0,91.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.93518344118348,43.03414852028288]}"
962,102.0,94.0,169.0,65.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74050953596195,43.06283172730482]}"
963,111.0,113.0,198.0,77.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7408059800057,43.06306528927869]}"
964,128.0,117.0,132.0,85.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7801432062973,43.09881823758665]}"
965,111.0,118.0,150.0,81.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.69487511952867,43.07108724476588]}"
966,101.0,99.0,170.0,64.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.85510761675707,43.05128837590389]}"
967,82.0,63.0,114.0,48.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90703024017918,43.071509452949414]}"
968,132.0,131.0,206.0,93.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72364815807902,43.05062362259363]}"
969,119.0,125.0,218.0,84.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.81756702103371,43.20191788274504]}"
970,120.0,122.0,217.0,80.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72435782715347,43.05033616170272]}"
971,149.0,156.0,225.0,113.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.85471235803206,43.05145007265503]}"
972,103.0,88.0,64.0,62.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.81896839287694,43.20195381535641]}"
973,112.0,119.0,202.0,76.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72421409670801,43.05019243125726]}"
974,120.0,118.0,205.0,77.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7236661243847,43.05110871284706]}"
