system:index,B,G,Lidar,N,R,training_poly,.geo
896,86,94,4.860644,130,82,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86068488068254,43.081837058253164]}"
897,75,94,20.404366,143,72,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.81743892116064,43.20220737801497]}"
898,71,64,13.016464,71,58,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72423131602285,43.05018013969675]}"
899,86,92,5.4988475,144,71,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90725554708673,43.07162371199715]}"
900,80,88,4.856525,92,85,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78005267632676,43.09880278512643]}"
901,82,86,2.9896307,119,76,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74149021504188,43.06313927743337]}"
902,75,87,7.4405084,118,72,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.81859841958386,43.20199994576676]}"
903,88,104,8.635174,160,76,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74077018001934,43.062854403900936]}"
904,71,63,2.1925428,73,47,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72416348173608,43.05140380180967]}"
905,127,141,4.1193843,168,158,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8547120521034,43.05148637573407]}"
906,90,88,5.461337,107,86,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72366029932653,43.05059851196921]}"
907,94,102,6.536367,113,100,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.9352035359026,43.03424186817797]}"
908,66,64,5.166657,91,59,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72438245335195,43.050730483356055]}"
909,87,95,1.9882114,159,71,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72357494118086,43.05136294649744]}"
910,100,110,10.684213,132,96,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.93504691299928,43.033997821575184]}"
911,78,74,3.369219,97,68,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72460005426137,43.050948313886]}"
912,104,109,4.4342046,124,109,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.93559745801075,43.03413636504773]}"
913,92,100,0.82737833,107,92,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.77985953517495,43.0985672478667]}"
914,92,96,4.8538175,114,100,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7239380196492,43.05089785376947]}"
915,56,68,12.251469,100,48,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.81820409300883,43.202042028888854]}"
916,50,58,18.914417,111,45,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8176626263913,43.20204701313733]}"
917,105,120,6.4504766,150,135,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82523285212673,43.16421589958963]}"
918,62,78,21.010098,139,56,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8173642276328,43.20226983335227]}"
919,64,68,6.470904,105,71,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82493627351283,43.16432173556262]}"
920,77,80,5.225554,104,72,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.93528974656246,43.03421541411016]}"
921,84,88,5.5259867,115,96,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72416016788632,43.05081866902609]}"
922,65,72,10.211717,134,58,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.81847613557312,43.20194503074735]}"
923,86,82,3.042934,102,75,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72463618347028,43.05099361942389]}"
924,109,106,3.9800627,138,112,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72361879274993,43.050904225120284]}"
925,74,80,14.385416,100,70,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.81805608005983,43.20206793524842]}"
926,102,110,4.22396,132,106,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72395346302851,43.0506909436551]}"
927,79,85,2.6706681,122,71,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72426510914782,43.051179598216585]}"
928,87,90,2.0079403,140,61,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72379571273294,43.05137376735023]}"
929,66,60,12.564718,87,39,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72402116703158,43.050277426681134]}"
930,64,60,3.7490332,63,52,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.69479933084389,43.07108773340942]}"
931,83,92,4.3792844,114,88,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90708121832996,43.07182059062721]}"
932,43,44,7.3161936,66,35,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.81853058512215,43.20156737537029]}"
933,74,80,8.879267,98,72,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.93506920748595,43.03418699944424]}"
934,97,110,5.536029,179,91,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72423311464044,43.05086427792142]}"
935,88,100,3.9846716,124,98,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.85491891588593,43.05162286794472]}"
936,104,108,3.3277893,120,98,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.9069999456936,43.07144198305007]}"
937,59,48,8.753177,62,40,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74069639396649,43.06286280846614]}"
938,84,92,5.3461866,116,89,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.93537948416117,43.03389192696628]}"
939,79,78,2.5432665,95,70,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72471713330835,43.05131834420171]}"
940,70,72,2.0659602,85,60,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.85532642414957,43.05143672329595]}"
941,71,78,2.5395052,82,70,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.77999191368197,43.09875730649502]}"
942,70,72,17.573036,92,66,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8178101402853,43.20205710920729]}"
943,108,108,4.3706255,126,98,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74081453968415,43.06316981908192]}"
944,86,95,2.8037434,120,81,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.9355751619162,43.03394718726814]}"
945,110,112,9.815822,134,106,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7407712636609,43.06278239980579]}"
946,95,116,3.4304996,165,87,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.9067388965473,43.07170129678295]}"
947,102,104,4.9242043,114,100,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8607996412564,43.0815138089615]}"
948,50,59,17.917887,113,39,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.81777410418005,43.201993831968764]}"
