system:index,B,G,Lidar,N,R,training_poly,.geo
55,85,89,0.10133213,153,73,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.9031248630507,43.073027482545015]}"
56,119,123,-0.48964977,127,105,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90302630663875,43.073053829749426]}"
57,88,98,-0.257441,134,86,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78728977641008,43.09952474829972]}"
58,71,77,-0.06339589,144,68,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86182179301204,43.05877391801532]}"
59,88,92,-0.32135883,118,81,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82455291826905,43.11611586918561]}"
60,91,89,-1.4999237,143,77,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86255683909762,43.072038477384154]}"
61,74,82,0.11448889,147,72,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8618220284729,43.058755916403165]}"
62,90,98,0.24383178,140,88,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78740070601303,43.099498596089845]}"
63,80,84,-0.28004906,148,72,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86178473351117,43.05879166063221]}"
64,87,88,-1.4999237,134,77,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86254409105473,43.07207439425822]}"
65,96,96,-1.0248889,78,86,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86360657948033,43.082856777164515]}"
66,73,83,-0.50750643,110,79,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78749703482802,43.09963435965569]}"
67,87,89,-1.4999237,148,76,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86250216051106,43.07152500114716]}"
68,74,75,-0.8662139,132,66,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86183359677332,43.0588100075686]}"
69,84,93,0.5491108,134,86,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78747401508964,43.099526164071875]}"
70,94,99,-0.500772,128,85,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78746031581666,43.09962507596228]}"
71,90,98,-0.4428679,146,87,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86163920371345,43.058655612446856]}"
72,102,112,-0.37025526,96,102,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82461644647616,43.11596331054771]}"
73,100,105,-0.14088042,132,90,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74312460054584,43.06712218733666]}"
74,114,121,-0.39174354,109,110,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82462885587888,43.115954400331105]}"
75,110,118,-0.31859988,116,107,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82439764429992,43.11579067085804]}"
76,77,74,0.0072894595,113,64,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.73563428019335,43.06962694548679]}"
77,92,103,-0.41485274,128,89,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82461484202872,43.11608031875741]}"
78,134,137,-0.29090598,127,125,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.88533735974342,43.06012510625986]}"
79,72,70,-0.59940517,158,53,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72489406283586,43.05178788479042]}"
80,94,102,0.12732096,136,90,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8244698787304,43.11589922104519]}"
81,122,126,-0.4414256,109,116,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82464015454116,43.116026495797755]}"
82,80,90,0.17889409,140,78,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86174955784557,43.05866539034153]}"
83,102,110,-0.2604927,105,98,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82457934167059,43.11598104055771]}"
84,82,90,-0.61633116,122,80,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7872516404667,43.099614470801086]}"
85,101,89,0.007567275,150,79,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.73562295744571,43.069563842185815]}"
86,72,82,-0.14938642,140,70,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86168747807504,43.05871896347405]}"
87,153,148,-0.2912508,135,131,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74630214393918,43.07630241053419]}"
88,102,112,0.070009425,136,96,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8244820412649,43.11590831210724]}"
89,82,83,-1.4999237,134,74,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86247748837866,43.07153382937774]}"
90,86,90,-0.16961329,153,72,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90308803012496,43.07302723677519]}"
91,92,96,0.023081182,156,83,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.88526393826345,43.060106601668394]}"
92,93,90,-1.4999237,128,81,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86240111796945,43.07174032977749]}"
93,79,84,-0.23889449,142,74,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86188363728043,43.05873834642249]}"
94,135,132,0.30261812,150,130,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78742514236453,43.099507785422354]}"
95,90,85,-0.52739793,150,69,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.73565978670253,43.06956414183473]}"
96,86,88,-0.41269565,144,78,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86177234109356,43.05880057510376]}"
97,73,78,0.5030266,116,68,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74668240555762,43.08289462722434]}"
98,70,68,-0.566048,94,61,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7465698729709,43.08302874608701]}"
99,73,78,0.25159454,150,68,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74673273412868,43.08281401764695]}"
100,92,90,-1.4999237,143,78,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86252177235845,43.071903206760524]}"
101,86,91,-0.756912,63,82,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74635085103642,43.07632980704449]}"
102,88,98,0.19355507,141,86,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78740057721414,43.09950759665944]}"
103,94,90,-0.5168285,103,81,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86351932966896,43.08295518238455]}"
104,118,125,-0.25579566,125,117,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82453229603911,43.115827668132745]}"
105,100,108,-0.14207445,106,98,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82454334770863,43.115917764872435]}"
106,86,88,-1.4999237,153,78,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86250984811144,43.07187611812365]}"
107,120,114,0.33404058,155,106,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86369653276395,43.08255135410655]}"
108,82,78,-1.4999237,136,70,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86255162243083,43.07149834388226]}"
109,146,156,-0.015072446,125,144,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82440931300891,43.115835764453124]}"
110,98,102,-0.13978001,143,92,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86183465633124,43.05872900031373]}"
111,69,68,-1.8897637,168,55,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.71731401554304,43.04904276803935]}"
112,104,111,-0.26900977,128,98,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82454112597416,43.1160797762373]}"
113,97,96,-1.4999237,145,86,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86239652766584,43.07209136045454]}"
114,98,106,-0.42575964,112,96,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82463990771012,43.11604449706086]}"
115,93,101,-0.21910277,112,89,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82452908682916,43.11606168455018]}"
116,107,112,-0.02438286,152,94,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.88526370964941,43.06012460337844]}"
117,56,55,-0.448632,134,40,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72496811298956,43.05176148931624]}"
118,96,101,-0.43646225,142,86,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82460169206966,43.11614323276008]}"
119,96,92,0.1921902,138,82,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8636460043166,43.08265901869961]}"
120,79,80,-1.4999237,130,67,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8625630759276,43.07156143566628]}"
121,90,97,5.8378384E-4,134,88,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78735144691412,43.099507219117804]}"
122,96,95,0.2554228,126,86,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74317424487242,43.06708658158416]}"
123,95,94,0.0319596,126,86,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86170034147996,43.058674045787846]}"
124,88,88,-0.14505222,156,72,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90303668440093,43.07320692650802]}"
125,94,100,-0.35318297,132,82,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78726495361607,43.09954256064614]}"
126,114,112,-0.55572873,112,103,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86359477027163,43.08282068789926]}"
127,80,86,-0.47212088,148,71,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82462601727728,43.11616141485525]}"
128,88,86,-1.4999237,147,75,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86247325161112,43.07185785771361]}"
129,112,112,-0.32260886,148,98,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8852757560543,43.06014268890535]}"
130,92,97,-0.3739163,153,75,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90308858887506,43.07298223241268]}"
131,98,100,-0.44051892,140,88,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78732572247476,43.09958803546325]}"
132,108,107,-1.4999237,120,95,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86238884070404,43.07174024348857]}"
133,114,119,0.19182965,108,107,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.73370796286822,43.070349387155055]}"
134,100,96,0.10075558,133,86,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86369688542526,43.08252435178849]}"
135,64,65,-1.8897637,161,48,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.71728905455087,43.04906956583543]}"
136,136,132,-0.199009,125,119,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86179818553012,43.058701738904745]}"
137,75,78,-0.36047,142,68,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86185861704156,43.058774176998526]}"
138,74,73,-1.8897637,172,56,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.71726451001838,43.04906936220667]}"
139,108,122,0.3213935,157,108,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78741311738341,43.09948968990227]}"
140,73,70,-1.8897637,180,53,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.71732712071044,43.048988867009264]}"
141,73,75,-1.8897637,83,62,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78712765495457,43.09969453186408]}"
142,89,98,0.058960512,126,85,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82448191782676,43.11591731273862]}"
143,114,120,-0.30184993,115,110,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8245915042375,43.11599013160828]}"
144,92,92,-1.4999237,139,80,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86232592414565,43.07185682225022]}"
145,69,69,-1.8897637,175,57,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.71729099807342,43.04894355921046]}"
146,88,93,-1.4999237,150,80,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86242367167009,43.07189351572705]}"
147,87,90,-1.4999237,149,76,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86238813449808,43.07179424820938]}"
148,80,80,-1.4999237,141,68,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86251906565698,43.07211022485499]}"
149,92,93,-1.4999237,154,82,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86248446971358,43.07193895107494]}"
150,84,86,-0.44865167,141,76,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86177222335571,43.058809575909656]}"
151,102,100,-0.052075665,122,86,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74316156354485,43.06711348404678]}"
152,84,88,-1.5035826,131,75,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78716476045818,43.09967681395785]}"
153,88,83,-1.4999237,106,68,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86252753871376,43.07146216818592]}"
154,86,90,-0.67994153,137,84,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78737408001977,43.09964241643269]}"
155,88,92,-0.116505116,145,82,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78746083097892,43.099589073683944]}"
156,84,93,-0.1348209,142,80,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78744854838733,43.09958897930684]}"
157,159,155,-0.2672026,185,147,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8617362235073,43.05874631125743]}"
158,71,69,-1.8897637,176,52,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.71729085925081,43.04895255968376]}"
159,96,93,-0.11822465,154,80,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.746180578477,43.07622041841225]}"
160,70,70,-1.8897637,170,53,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7173400870387,43.04894396645041]}"
161,90,97,-0.36690757,120,87,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82462762170799,43.116044406646886]}"
162,84,90,-0.65993804,134,78,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78736192622297,43.09963332147687]}"
163,117,120,-0.48478276,134,104,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.9030139172307,43.073062748689104]}"
164,116,112,-0.6345521,94,101,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86351909450595,43.08297318392779]}"
165,100,108,-0.50273037,116,98,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82465268736696,43.11600858494713]}"
166,97,100,-0.21613586,150,84,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.88522699891553,43.06011535106503]}"
167,94,97,-0.37873086,136,90,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78731369750777,43.0995699399331]}"
168,80,80,-1.4999237,138,70,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86252718567533,43.07148917054862]}"
169,80,86,-0.23837423,134,76,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86374600311552,43.082524696443684]}"
170,80,80,-1.4999237,89,69,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86255009263803,43.07161535411968]}"
171,116,114,-0.109645195,110,100,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.73369527672085,43.07037628850832]}"
172,100,100,-1.4999237,132,88,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8623861335706,43.0719472615822]}"
173,88,88,-1.8897637,158,72,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.71726395470957,43.04910536409875]}"
174,92,92,-1.4999237,154,82,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86235130266984,43.07179398933423]}"
175,88,90,-0.068333745,148,73,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90307329392779,43.07322517403947]}"
176,91,91,-0.09943309,155,78,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90311292064818,43.07300039800544]}"
177,96,100,0.061300535,143,86,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78742462718282,43.09954378770086]}"
178,83,83,-1.4999237,140,72,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8624783121864,43.071470823865816]}"
179,63,60,0.24963932,163,47,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72042806758265,43.05805217500409]}"
180,126,126,0.8416247,106,116,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7337573421785,43.0703317865476]}"
181,70,74,0.42299032,110,60,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74667012643906,43.08289452850079]}"
182,82,80,-0.4765808,120,70,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86378201859469,43.08258796033117]}"
183,110,102,-1.4999237,126,92,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86252130162981,43.07193920990793]}"
184,76,76,-0.8175043,164,58,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72486965489372,43.05177868229397]}"
185,87,93,-0.30022314,128,79,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82454063225289,43.11611577876218]}"
186,88,98,-0.39917985,121,87,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82465194688466,43.116062588736604]}"
187,98,108,-0.09801309,120,98,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82450735382001,43.11585448917575]}"
188,100,99,-0.4454929,104,90,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86349465306807,43.08296401078115]}"
189,86,84,-1.4999237,136,74,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86248976560313,43.07153391565683]}"
190,83,89,-0.07550803,147,73,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90310008427002,43.07304532044473]}"
191,84,86,-1.4999237,126,74,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86243359506396,43.07207361774375]}"
192,114,112,-0.6184964,90,102,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8635065798276,43.08299109928405]}"
193,118,122,0.13198088,143,110,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78754668034378,43.099598734856606]}"
194,82,80,-1.4999237,136,70,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86258186444367,43.07200264677828]}"
195,92,92,-0.260929,154,74,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90307597598694,43.07300915310437]}"
196,100,99,-1.4999237,150,88,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86240939349744,43.072046442811335]}"
197,116,122,-0.050349656,132,113,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82437257858395,43.11582649250277]}"
198,122,126,-0.2690948,119,115,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8245803290622,43.11590903550528]}"
199,127,123,-0.039603136,113,121,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.73370755329513,43.0703763886009]}"
200,163,174,1.2115898,150,178,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90295936356394,43.05668841825252]}"
201,102,108,1.2939644,102,106,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.73374720472728,43.06209523859171]}"
202,113,120,1.0272237,111,120,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.84065656241239,43.068047802185944]}"
203,164,166,0.96779263,138,164,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.75100803709503,43.048885253253154]}"
204,139,142,1.5561844,132,144,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74003929322052,43.04861692870627]}"
205,162,164,0.8147055,145,165,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86144769672836,43.16886022837113]}"
206,136,152,1.1234158,140,154,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.84088268026875,43.052116551169284]}"
207,102,110,0.71277636,109,102,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.84076777566759,43.06799459520172]}"
208,148,148,1.5615125,141,159,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.75146171251056,43.048915887322494]}"
209,172,170,1.2109851,134,161,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.93412810705857,43.024585177559295]}"
210,152,158,1.4701527,148,162,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.75125415333649,43.04884221412691]}"
211,146,143,1.5200284,136,140,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.73986599091788,43.04871454321125]}"
212,63,67,1.3057216,63,63,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.73396747109918,43.06214204215866]}"
213,130,141,1.0831921,134,142,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8411528132724,43.05210949850226]}"
214,93,100,0.5535378,89,91,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.84096456136346,43.0679690104463]}"
215,144,144,1.1567408,118,131,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.751006430381,43.04899325996952]}"
216,90,96,0.12953618,90,86,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.84118866736193,43.05218177026583]}"
217,98,104,0.65759635,100,94,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.84070663512504,43.06797615068194]}"
218,164,176,1.4729692,160,181,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7513124365309,43.049049717853414]}"
219,100,108,-0.4196433,82,100,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.93426123672032,43.02473905847003]}"
220,168,170,1.3950723,152,172,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.73982727672139,43.04884025247428]}"
221,124,131,1.5759233,124,134,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.73997684790778,43.04868843608437]}"
222,170,180,1.1884688,154,184,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90307050313136,43.05663515003825]}"
223,86,91,0.78819764,91,87,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.83495451879783,43.185440394234995]}"
224,126,135,1.0294217,116,134,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86138420302429,43.16901280635648]}"
225,111,114,1.2401227,114,108,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.73389436733869,43.06210543986044]}"
226,118,130,0.97927666,118,128,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.84100553386621,43.052108435979775]}"
227,150,151,1.2816826,134,152,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.73980544272162,43.04866004304718]}"
228,128,133,1.0458997,117,136,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8612119305802,43.16902059512041]}"
229,98,110,0.13103701,86,100,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.93426198577197,43.02467605138039]}"
230,152,153,1.4957607,143,155,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.73986477122845,43.04879554799736]}"
231,97,111,1.0417638,97,100,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90325327875674,43.05674438920779]}"
232,106,116,0.7962195,108,107,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90305510140486,43.05688709328153]}"
233,127,121,1.130839,106,115,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.73370792322918,43.062256947276566]}"
234,118,126,0.37865302,100,116,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90323999938317,43.05682531541013]}"
235,86,93,0.23570518,90,86,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.83524837370916,43.18554154594834]}"
236,150,154,1.6573334,148,163,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74003685430102,43.04877893828803]}"
237,150,155,1.5799358,143,157,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74005115899675,43.04864402967566]}"
238,162,165,1.4513977,152,170,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.75137286155775,43.04911321258279]}"
239,92,100,0.5543719,100,92,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8348186083365,43.18548441325926]}"
240,87,95,0.46223283,92,90,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.83498909692479,43.185611672856496]}"
241,124,126,1.4593463,123,122,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.73994165721122,43.04858013155389]}"
242,147,158,1.5609962,166,165,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.75153440993164,43.04897948011606]}"
243,82,92,0.6023851,88,87,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.83501369687869,43.18561185168741]}"
244,174,184,1.2436949,152,180,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90287333117813,43.05669684571803]}"
245,182,194,1.1990825,162,196,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90298368892333,43.05670658387453]}"
246,104,112,0.90670145,114,102,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.84058374977296,43.06798426526506]}"
247,88,98,0.7833883,94,88,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.83505218522669,43.18549511282954]}"
248,96,103,0.3638438,95,96,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.83473263091459,43.185474786637464]}"
249,113,116,1.0343888,101,113,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86165390356182,43.169077714616286]}"
250,100,111,0.775316,100,98,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.83501491879274,43.185521846231296]}"
251,180,177,1.1269563,147,179,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.75100763541735,43.04891225493243]}"
252,151,160,1.212103,139,158,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.9032287299702,43.056744225439445]}"
253,121,126,0.9919506,104,120,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86169162121145,43.16901496976]}"
254,160,164,1.3139619,156,176,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7486191008495,43.06915575377666]}"
255,108,111,1.1889303,93,102,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.73373670405255,43.06197813208155]}"
256,173,182,1.2346809,150,182,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90286094507574,43.05670576469161]}"
257,153,156,1.617169,147,159,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.73995121930164,43.04876024157922]}"
258,91,94,0.07276777,92,88,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.84122536654303,43.052191036626006]}"
259,77,76,-0.38885328,76,70,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8351884620442,43.18542409188803]}"
260,98,110,0.8710546,125,98,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7664795015551,43.084519338643695]}"
261,156,154,1.1317575,132,150,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.75129802253352,43.049193628650436]}"
262,144,154,1.1836109,140,158,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74869396807723,43.069075339995145]}"
263,176,178,1.3934717,164,182,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.75120225283239,43.04903083319856]}"
264,99,109,0.23832035,96,98,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90311647351163,43.0568875027867]}"
