system:index,B,G,N,R,training_poly,.geo
0,68.0,65.0,24.0,66.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82437625088734,43.11576944699799]}"
1,70.0,60.0,58.0,57.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.73566761658054,43.06960502454708]}"
2,103.0,103.0,128.0,103.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86241092001696,43.071985560049995]}"
3,84.0,75.0,41.0,74.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74664502935248,43.082909073904894]}"
4,130.0,140.0,128.0,142.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90310460238757,43.0730545552381]}"
5,78.0,71.0,52.0,69.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82460082970837,43.116092840500265]}"
6,115.0,133.0,203.0,139.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90302375401201,43.073081504696624]}"
7,88.5,71.5,73.0,67.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74626773693315,43.07631543971945]}"
8,65.0,58.0,57.0,54.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.71726113640894,43.04915038552768]}"
9,72.0,68.0,33.0,71.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8243223519703,43.11581436276219]}"
10,108.0,120.0,194.0,115.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86163836887262,43.058663544386505]}"
11,80.0,69.0,31.0,61.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7871680318191,43.09970756971793]}"
12,72.0,59.5,64.0,57.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74619587171041,43.076261540802406]}"
13,109.0,107.0,78.0,121.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90300578770632,43.073180319377876]}"
14,66.0,54.0,63.0,50.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82459184655553,43.116218604640046]}"
15,85.0,76.0,38.0,74.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7466270630468,43.082945006516255]}"
16,82.0,82.0,132.0,85.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86242888632265,43.071743014923285]}"
17,73.0,64.0,8.0,55.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7871231160549,43.09970756971793]}"
18,94.0,97.0,187.0,97.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86177311616524,43.05884320744333]}"
19,94.0,94.0,130.0,95.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86375839294314,43.08251381517988]}"
20,77.0,73.0,36.0,72.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.824564897097,43.11600300897185]}"
21,98.0,94.0,90.0,94.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82448404872143,43.1159041942906]}"
22,73.0,74.0,62.0,77.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82444811611008,43.11587724483208]}"
23,121.0,125.0,155.0,120.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90300578770632,43.07309048784946]}"
24,60.0,44.0,47.0,36.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78742854325151,43.09951892350826]}"
25,89.0,90.0,28.0,86.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.733718272414,43.07035960938574]}"
